latitude,longitude,pres[Pa],gh[gpm],t[K],u[m/s],v[m/s],w[Pa/s]
32.76,-97.633,85673.112,1388.398,284.536,1.909,8.223,-1.438
32.76,-97.601,85989.112,1365.617,284.098,2.034,9.036,6.812
32.76,-97.569,86085.112,1352.273,284.411,0.659,9.723,-16.657
32.76,-97.537,86142.713,1341.273,285.286,-3.341,11.223,-21.032
32.76,-97.506,86264.312,1324.148,285.848,-7.841,10.973,-2.032
32.76,-97.474,86559.513,1297.804,284.661,-10.091,8.161,8.968
32.76,-97.442,86820.312,1275.46,285.223,-9.966,10.473,-11.001
32.76,-97.41,86908.312,1266.273,287.286,-8.529,17.036,-10.782
32.76,-97.378,86916.312,1267.304,288.036,-6.591,19.411,1.062
32.76,-97.346,87000.312,1263.429,287.286,-6.029,18.161,0.468
32.76,-97.314,87033.912,1258.023,287.223,-7.404,17.036,-7.001
32.76,-97.282,86959.513,1258.867,287.473,-10.841,15.161,-3.501
32.76,-97.25,86801.912,1270.835,286.973,-14.779,13.536,7.093
32.76,-97.218,86789.912,1274.96,285.661,-15.841,13.598,10.937
32.76,-97.186,86957.112,1262.648,285.161,-15.091,13.348,-8.594
32.76,-97.154,87061.912,1246.148,285.911,-16.404,14.973,-22.782
32.76,-97.122,86765.912,1265.554,286.786,-18.529,17.286,-22.251
32.759,-97.091,86735.513,1265.554,287.411,-18.716,19.286,-17.344
32.759,-97.059,86834.713,1256.679,287.848,-17.279,20.348,-13.063
32.759,-97.027,86965.912,1245.585,288.098,-15.591,20.661,-11.157
32.759,-96.995,87085.112,1237.492,288.411,-13.966,21.223,-8.251
32.759,-96.963,87131.513,1234.96,288.473,-12.529,22.598,-5.344
32.759,-96.931,87157.112,1233.085,288.723,-11.779,24.223,-1.782
32.759,-96.899,86950.713,1251.929,288.723,-11.404,25.473,0.656
32.787,-97.633,85698.713,1394.929,284.223,2.534,8.286,16.499
32.787,-97.601,85888.312,1377.304,283.536,2.909,8.973,-0.657
32.787,-97.569,85968.312,1362.617,284.473,-0.341,9.661,-21.001
32.787,-97.537,86197.912,1333.835,286.036,-4.466,11.723,-17.532
32.787,-97.506,86486.713,1300.117,286.848,-7.904,11.411,3.781
32.787,-97.474,86797.112,1279.679,284.223,-9.341,8.161,21.406
32.787,-97.442,86900.312,1272.492,284.348,-9.654,9.598,-8.938
32.787,-97.41,86737.112,1283.835,285.786,-10.341,15.036,-15.844
32.787,-97.378,86758.713,1282.429,286.473,-9.779,17.473,0.531
32.787,-97.346,87003.513,1262.929,286.411,-9.216,16.723,-1.657
32.787,-97.314,86893.912,1269.554,286.661,-10.091,16.723,-13.907
32.787,-97.282,86926.713,1257.46,287.411,-11.966,16.536,-11.188
32.787,-97.25,87017.912,1248.429,287.723,-13.716,14.598,2.812
32.787,-97.218,87045.112,1246.367,286.598,-14.716,12.723,1.374
32.787,-97.186,87068.312,1241.835,286.161,-15.841,11.661,-17.719
32.787,-97.154,87051.513,1234.46,286.848,-17.966,12.723,-26.563
32.786,-97.122,86937.112,1241.148,287.473,-19.654,13.848,-16.938
32.786,-97.09,86959.513,1242.492,287.661,-19.529,15.411,-7.969
32.786,-97.058,86965.912,1247.679,287.723,-18.591,16.723,-4.657
32.786,-97.027,87149.112,1233.96,287.723,-17.654,17.536,-5.282
32.786,-96.995,87180.312,1231.179,287.723,-16.904,18.473,-8.407
32.786,-96.963,87161.912,1231.054,287.848,-16.404,19.786,-11.969
32.786,-96.931,87180.312,1227.648,288.223,-15.966,21.223,-10.657
32.785,-96.899,87185.112,1225.835,288.473,-15.654,22.473,-7.001
32.814,-97.633,85969.112,1378.898,283.223,3.659,9.473,10.218
32.814,-97.601,86093.912,1355.054,283.661,1.721,9.223,-16.438
32.814,-97.569,86337.112,1322.804,284.848,-2.591,9.723,-21.594
32.814,-97.537,86473.112,1303.085,286.723,-5.904,11.848,-13.657
32.814,-97.506,86641.112,1291.054,287.161,-7.779,11.536,12.999
32.814,-97.474,86988.312,1274.085,284.036,-7.904,8.723,22.906
32.814,-97.442,86757.912,1292.648,283.973,-8.466,9.286,-12.032
32.814,-97.41,86490.713,1309.742,284.848,-10.841,13.098,-20.313
32.814,-97.378,86656.312,1289.054,285.848,-11.716,15.411,-7.938
32.814,-97.346,86719.513,1284.523,286.098,-11.341,15.098,-10.032
32.814,-97.314,86762.713,1273.679,286.723,-12.029,15.161,-21.376
32.814,-97.282,86715.513,1269.023,287.598,-13.216,15.786,-19.001
32.814,-97.25,86812.312,1260.492,288.348,-13.654,14.723,-5.438
32.814,-97.218,86827.513,1260.335,288.098,-14.029,12.348,-1.907
32.813,-97.186,86855.513,1254.46,288.036,-15.404,10.973,-10.126
32.813,-97.154,86812.312,1252.929,288.411,-17.091,11.473,-7.876
32.813,-97.122,86827.513,1253.46,288.223,-18.154,12.411,1.406
