latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,15018.76367,24.30169,19.50997,-0.3143
32.76018,-97.60131,15018.01367,23.80169,18.00997,-0.22341
32.76021,-97.56938,15015.98242,23.23919,17.07247,0.0052
32.76022,-97.53746,15016.16992,23.23919,16.57247,0.14232
32.76023,-97.50554,15013.95117,23.55169,16.13497,0.20314
32.76023,-97.47361,15016.98242,23.73919,15.69747,0.27903
32.76021,-97.44169,15016.95117,23.73919,15.25997,0.32419
32.76019,-97.40976,15015.63867,23.92669,14.94747,0.39919
32.76016,-97.37784,15014.91992,24.61419,14.50997,0.33776
32.76012,-97.34591,15013.70117,25.55169,13.57247,0.15611
32.76007,-97.31399,15016.41992,26.11419,12.32247,-0.00995
32.76001,-97.28206,15019.95117,25.98919,11.00997,-0.04016
32.75994,-97.25014,15023.45117,25.55169,10.50997,0.15597
32.75987,-97.21821,15030.26367,26.17669,11.44747,0.47099
32.75978,-97.18629,15035.07617,27.55169,12.13497,-0.02492
32.75968,-97.15437,15031.20117,28.42669,11.44747,-0.58185
32.75958,-97.12244,15024.73242,28.48919,10.13497,-0.56748
32.75946,-97.09052,15017.35742,28.67669,9.44747,-0.2207
32.75934,-97.05859,15012.66992,29.55169,9.57247,-0.05502
32.75921,-97.02667,15011.29492,30.67669,9.69747,0.00513
32.75906,-96.99475,15006.79492,31.48919,9.32247,0.02018
32.75891,-96.96282,15005.38867,31.67669,8.44747,-0.04012
32.75875,-96.9309,15006.48242,31.11419,7.38497,-0.19173
32.75858,-96.89897,15008.79492,30.05169,6.88497,-0.08594
32.787,-97.63328,15028.01367,23.48919,19.75997,0.11152
32.78703,-97.60134,15017.57617,23.61419,18.25997,-0.23802
32.78705,-97.56941,15016.35742,23.17669,17.19747,-0.2383
32.78707,-97.53747,15014.29492,22.80169,16.44747,-0.13193
32.78708,-97.50554,15018.07617,22.42669,15.63497,0.06618
32.78707,-97.4736,15024.35742,21.98919,14.88497,0.24905
32.78706,-97.44167,15023.07617,21.61419,14.57247,0.35489
32.78704,-97.40973,15021.91992,21.86419,14.63497,0.36899
32.78701,-97.37779,15019.45117,22.92669,14.57247,0.35278
32.78697,-97.34586,15018.73242,24.30169,14.07247,0.27679
32.78692,-97.31392,15019.88867,25.17669,13.07247,0.15601
32.78686,-97.28199,15025.16992,25.42669,12.00997,0.15601
32.78679,-97.25005,15034.45117,25.61419,11.82247,0.35151
32.78671,-97.21812,15046.07617,26.42669,12.50997,0.35077
32.78663,-97.18618,15045.35742,27.42669,12.50997,-0.02493
32.78653,-97.15425,15034.29492,27.80169,11.44747,-0.2354
32.78642,-97.12231,15029.20117,27.98919,10.69747,-0.08499
32.78631,-97.09037,15023.66992,28.55169,10.94747,-0.15975
32.78619,-97.05844,15015.82617,29.80169,11.75997,-0.36868
32.78605,-97.0265,15010.70117,31.30169,12.19747,-0.36846
32.78591,-96.99457,15008.23242,32.36419,11.88497,-0.2195
32.78576,-96.96264,15006.41992,32.61419,10.69747,-0.05501
32.7856,-96.9307,15004.23242,32.11419,9.00997,-0.10052
32.78543,-96.89877,15003.26367,30.98919,7.75997,-0.17664
32.81384,-97.63333,15022.32617,22.17669,19.94747,0.47596
32.81388,-97.60138,15020.35742,22.92669,19.00997,0.12663
32.8139,-97.56943,15015.91992,22.98919,17.82247,-0.07082
32.81392,-97.53749,15016.16992,22.61419,16.50997,-0.08617
32.81392,-97.50554,15022.26367,21.86419,15.13497,-0.01005
32.81392,-97.47359,15024.29492,21.11419,14.50997,0.15751
32.81391,-97.44165,15024.10742,20.98919,14.69747,0.36965
32.81389,-97.4097,15023.82617,21.73919,15.13497,0.42886
32.81386,-97.37775,15022.23242,23.11419,15.25997,0.38243
32.81382,-97.3458,15020.85742,24.61419,14.88497,0.27646
32.81377,-97.31386,15021.48242,25.73919,14.00997,0.18596
32.81371,-97.28191,15026.76367,26.23919,13.25997,0.2311
32.81364,-97.24996,15032.20117,26.61419,13.25997,0.36624
32.81356,-97.21802,15041.45117,27.17669,13.57247,0.26052
32.81348,-97.18607,15040.63867,27.61419,13.25997,0.15522
32.81338,-97.15413,15037.10742,27.73919,12.57247,0.21513
32.81327,-97.12218,15038.35742,28.17669,12.57247,0.09492
32.81316,-97.09023,15033.91992,29.11419,13.57247,0.28882
32.81303,-97.05829,15024.54492,30.36419,14.82247,0.4828
32.8129,-97.02634,15016.35742,31.42669,15.32247,0.31907
32.81276,-96.99439,15012.51367,31.98919,14.63497,0.12501
32.81261,-96.96245,15009.51367,32.11419,12.94747,0.05021
32.81244,-96.9305,15003.01367,32.05169,10.94747,0.03525
32.81227,-96.89856,14999.10742,31.80169,9.32247,-0.11559
32.84069,-97.63337,15028.10742,20.86419,19.94747,0.62969
32.84073,-97.60141,15022.26367,21.42669,19.38497,0.5226
32.84075,-97.56946,15018.88867,21.80169,18.13497,0.38575
32.84077,-97.5375,15020.54492,21.80169,16.44747,0.18803
32.84077,-97.50554,15022.57617,21.42669,15.13497,0.02043
32.84077,-97.47358,15026.88867,21.11419,15.07247,0.14211
32.84076,-97.44163,15023.26367,21.48919,15.75997,0.41459
32.84074,-97.40967,15021.57617,22.61419,16.44747,0.50376
32.84071,-97.37771,15021.23242,24.05169,16.57247,0.36701
32.84067,-97.34575,15020.66992,25.55169,16.19747,0.24602
32.84062,-97.31379,15019.60742,26.73919,15.57247,0.21578
32.84056,-97.28184,15021.41992,27.48919,15.13497,0.27588
32.84049,-97.24988,15024.45117,27.92669,15.07247,0.32071
32.84041,-97.21792,15026.73242,28.23919,15.13497,0.23027
32.84032,-97.18596,15032.16992,28.23919,14.88497,0.26005
32.84023,-97.15401,15039.10742,28.23919,14.63497,0.00511
32.84012,-97.12205,15043.13867,28.98919,15.13497,0.0648
32.84001,-97.09009,15038.01367,29.80169,15.82247,-0.05479
32.83988,-97.05813,15025.79492,29.36419,16.00997,-0.67356
32.83975,-97.02618,15014.95117,28.48919,15.50997,-0.53944
32.83961,-96.99422,15010.79492,28.30169,14.69747,-0.2669
32.83946,-96.96226,15009.01367,29.11419,13.94747,-0.05509
32.83929,-96.93031,15003.70117,30.92669,12.82247,0.17028
32.83912,-96.89835,14999.04492,32.48919,11.44747,-0.0099
32.86754,-97.63342,15029.98242,19.36419,19.19747,0.49524
32.86758,-97.60145,15022.23242,19.80169,18.63497,0.66251
32.8676,-97.56948,15021.29492,20.55169,17.50997,0.61555
32.86762,-97.53751,15022.48242,20.98919,16.25997,0.32535
32.86763,-97.50554,15025.82617,21.17669,15.63497,0.17274
32.86762,-97.47357,15036.23242,21.48919,16.07247,0.29398
32.86761,-97.4416,15030.76367,22.17669,16.94747,0.49026
32.86759,-97.40964,15023.35742,23.23919,17.57247,0.5343
32.86756,-97.37767,15019.73242,24.61419,17.75997,0.38232
32.86752,-97.3457,15019.79492,25.98919,17.63497,0.26115
32.86747,-97.31373,15017.32617,27.11419,17.25997,0.24587
32.86741,-97.28176,15018.45117,28.05169,17.00997,0.29074
32.86734,-97.24979,15022.54492,28.48919,16.94747,0.3055
32.86726,-97.21782,15025.35742,28.73919,16.94747,0.35014
32.86718,-97.18585,15033.01367,28.67669,16.75997,0.40989
32.86708,-97.15389,15039.41992,28.80169,17.07247,0.10976
32.86697,-97.12192,15036.04492,29.98919,17.75997,-0.17389
32.86686,-97.08995,15028.23242,30.61419,17.00997,-1.31656
32.86673,-97.05798,15014.16992,29.23919,15.13497,-1.58466
32.8666,-97.02601,15007.29492,26.98919,13.38497,-0.83081
32.86646,-96.99404,15009.60742,25.67669,13.00997,-0.69236
32.86631,-96.96208,15009.10742,26.98919,14.25997,-0.16033
32.86614,-96.93011,15005.26367,30.42669,14.88497,0.31927
32.86597,-96.89814,15000.91992,33.17669,14.07247,0.00511
32.8944,-97.63347,15024.35742,18.61419,17.69747,0.35816
32.89443,-97.60149,15025.85742,19.61419,17.50997,0.58642
32.89446,-97.56951,15023.57617,20.55169,17.00997,0.4631
32.89447,-97.53752,15023.07617,20.98919,16.57247,0.3101
32.89448,-97.50554,15025.38867,21.23919,16.44747,0.32486
32.89447,-97.47356,15030.10742,21.80169,16.82247,0.47624
32.89446,-97.44158,15029.26367,22.61419,17.50997,0.55107
32.89444,-97.4096,15024.07617,23.61419,18.13497,0.39859
32.89441,-97.37762,15022.35742,24.86419,18.63497,0.29197
32.89437,-97.34564,15022.63867,26.11419,18.75997,0.26131
32.89432,-97.31366,15022.45117,27.11419,18.63497,0.12557
32.89426,-97.28168,15024.10742,27.80169,18.50997,0.08034
32.89419,-97.2497,15025.95117,28.11419,18.38497,0.1554
32.89411,-97.21772,15030.04492,28.42669,18.50997,0.42527
32.89403,-97.18574,15032.48242,28.73919,18.44747,0.47
32.89393,-97.15376,15041.88867,29.23919,19.19747,0.2743
32.89383,-97.12179,15039.70117,30.55169,19.69747,-0.0696
32.89371,-97.08981,15030.54492,31.17669,17.88497,-0.88127
32.89359,-97.05783,15018.79492,29.48919,14.94747,-0.78171
32.89345,-97.02585,15011.10742,26.67669,12.63497,-0.92119
32.89331,-96.99387,15010.29492,25.36419,12.88497,-0.72032
32.89316,-96.96189,15007.91992,27.30169,15.50997,0.15498
32.893,-96.92991,15004.95117,31.05169,17.19747,0.34834
32.92125,-97.63351,15032.23242,19.48919,16.88497,0.4948
32.92128,-97.60152,15028.26367,20.98919,17.38497,0.37141
32.92131,-97.56953,15022.48242,21.67669,17.50997,0.18825
32.92133,-97.53754,15022.10742,21.42669,17.44747,0.29494
32.92133,-97.50555,15024.57617,21.30169,17.38497,0.44664
32.92133,-97.47356,15025.41992,21.86419,17.44747,0.52167
32.92132,-97.44156,15027.32617,22.86419,17.69747,0.59638
32.92129,-97.40957,15024.82617,24.05169,18.50997,0.54959
32.92126,-97.37758,15024.54492,25.30169,19.44747,0.47284
32.92122,-97.34559,15025.91992,26.23919,19.94747,0.36679
32.92117,-97.3136,15025.20117,26.92669,19.94747,0.14071
32.92111,-97.28161,15023.85742,27.36419,19.75997,0.00513
32.92105,-97.24962,15023.13867,27.61419,19.50997,0.03522
32.92097,-97.21763,15026.76367,27.98919,19.63497,0.33574
32.92088,-97.18564,15033.35742,28.55169,19.75997,0.4254
32.92078,-97.15364,15045.10742,29.36419,20.38497,0.28996
32.92068,-97.12165,15040.26367,30.42669,20.38497,-0.08492
32.92056,-97.08966,15029.66992,30.48919,18.38497,-0.49213
32.92044,-97.05767,15018.54492,28.92669,15.50997,-0.76658
32.92031,-97.02568,15008.95117,27.05169,13.75997,-0.78101
32.92016,-96.99369,15005.10742,26.80169,14.88497,-0.22036
32.92001,-96.9617,15004.13867,28.80169,17.69747,0.28917
32.91985,-96.92971,15003.66992,31.67669,19.25997,0.13945
32.9481,-97.63356,15036.16992,20.67669,17.69747,0.79866
32.94814,-97.60156,15025.76367,22.05169,18.44747,0.35594
32.94816,-97.56955,15020.57617,21.98919,18.38497,0.15798
32.94818,-97.53755,15020.29492,21.05169,18.13497,0.32602
32.94819,-97.50555,15023.82617,20.67669,18.07247,0.55353
32.94818,-97.47355,15028.48242,21.48919,18.13497,0.55156
32.94817,-97.44154,15030.35742,23.05169,18.44747,0.24742
32.94815,-97.40954,15028.13867,24.42669,19.19747,0.18663
32.94812,-97.37754,15025.57617,25.23919,20.13497,0.29241
32.94808,-97.34554,15026.60742,25.61419,20.63497,0.26233
32.94803,-97.31353,15022.16992,25.92669,20.75997,0.27737
32.94797,-97.28153,15025.70117,26.42669,20.82247,0.33736
32.9479,-97.24953,15024.76367,26.98919,20.69747,0.27646
32.94782,-97.21753,15022.82617,27.55169,20.63497,0.26107
32.94774,-97.18553,15026.98242,28.05169,20.63497,0.29101
32.94764,-97.15352,15031.98242,28.67669,20.69747,0.24587
32.94753,-97.12152,15026.04492,29.23919,20.07247,-0.00993
32.94742,-97.08952,15015.48242,29.11419,18.32247,-0.20613
32.94729,-97.05752,15007.57617,28.30169,16.50997,-0.26658
32.94716,-97.02552,15004.51367,27.67669,16.07247,-0.08522
32.94702,-96.99352,15001.51367,27.92669,17.38497,0.03515
32.94686,-96.96151,15001.01367,29.23919,19.32247,-0.02486
32.9467,-96.92951,15003.16992,31.11419,20.38497,-0.11465
32.97496,-97.6336,15029.07617,20.30169,18.75997,0.84719
32.97499,-97.60159,15020.91992,20.92669,19.00997,0.41892
32.97502,-97.56958,15018.82617,20.36419,18.38497,0.31203
32.97504,-97.53756,15019.10742,19.48919,18.00997,0.40336
32.97504,-97.50555,15022.85742,19.42669,18.13497,0.58504
32.97504,-97.47354,15034.45117,20.92669,18.88497,0.71872
32.97503,-97.44152,15035.70117,23.48919,19.94747,0.38312
32.975,-97.40951,15031.76367,25.48919,20.57247,-0.40293
32.97497,-97.3775,15026.60742,25.86419,20.44747,-0.60156
32.97493,-97.34548,15027.04492,24.98919,19.88497,-0.22321
32.97488,-97.31347,15034.63867,24.17669,19.82247,0.29468
32.97482,-97.28146,15031.10742,24.36419,20.50997,0.65858
32.97476,-97.24944,15026.29492,25.17669,21.25997,0.64071
32.97468,-97.21743,15022.04492,26.05169,21.44747,0.36745
32.97459,-97.18542,15018.45117,26.67669,21.25997,0.1711
32.97449,-97.1534,15017.45117,27.05169,20.82247,0.11075
32.97439,-97.12139,15014.91992,27.36419,19.88497,0.06553
32.97427,-97.08938,15008.01367,27.55169,18.57247,0.03534
32.97415,-97.05736,15004.26367,27.55169,17.75997,0.09569
32.97402,-97.02535,15001.48242,27.48919,17.82247,0.05039
32.97387,-96.99334,15000.13867,27.61419,18.50997,-0.19087
32.97372,-96.96133,15001.32617,28.36419,19.44747,-0.31121
32.97356,-96.92931,15003.35742,29.67669,20.25997,-0.26554
33.00182,-97.63365,15018.88867,18.36419,17.94747,0.63754
33.00185,-97.60163,15017.60742,18.36419,17.82247,0.45222
33.00188,-97.5696,15018.88867,18.17669,17.32247,0.43616
33.00189,-97.53758,15022.20117,17.92669,17.25997,0.40431
33.0019,-97.50555,15031.60742,18.48919,17.75997,0.3415
33.0019,-97.47353,15034.57617,20.30169,18.82247,0.41682
33.00188,-97.4415,15026.82617,22.61419,19.82247,0.29468
33.00186,-97.40948,15030.10742,24.42669,20.32247,0.21844
33.00183,-97.37745,15033.48242,25.05169,20.25997,-0.19288
33.00179,-97.34543,15031.45117,24.23919,19.07247,-0.52932
33.00174,-97.3134,15037.51367,22.86419,18.13497,-0.23958
33.00168,-97.28138,15033.98242,22.42669,18.63497,0.38713
33.00161,-97.24936,15029.04492,22.98919,20.13497,0.65976
33.00153,-97.21733,15025.63867,23.86419,21.25997,0.44505
33.00145,-97.18531,15023.01367,24.61419,21.38497,0.20194
33.00135,-97.15328,15022.13867,25.23919,20.94747,0.08075
33.00125,-97.12126,15019.95117,25.98919,20.07247,0.03536
33.00113,-97.08923,15013.66992,26.73919,19.13497,0.00515
33.00101,-97.05721,15006.91992,27.23919,18.32247,-0.02508
33.00087,-97.02519,15003.48242,27.36419,17.82247,-0.13111
33.00073,-96.99316,15003.32617,27.36419,17.75997,-0.25246
33.00058,-96.96114,15005.10742,27.67669,18.19747,-0.3129
33.00041,-96.92912,15005.95117,28.48919,19.00997,-0.32755
33.02868,-97.6337,15016.20117,16.92669,15.88497,0.28401
33.02871,-97.60166,15021.23242,16.98919,16.00997,0.40693
33.02873,-97.56963,15022.82617,17.36419,16.07247,0.39034
33.02875,-97.53759,15026.32617,17.61419,16.44747,0.26648
33.02876,-97.50555,15038.38867,18.67669,17.50997,0.26531
33.02875,-97.47352,15050.51367,20.23919,17.94747,-0.27057
33.02874,-97.44148,15039.79492,19.67669,16.88497,-0.58127
33.02872,-97.40945,15034.20117,18.73919,16.32247,0.76292
33.02869,-97.37741,15043.23242,20.11419,18.82247,1.38462
