latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,27506.55469,-0.47023,1.96153,-0.03821
32.76018,-97.60131,27505.96094,-0.59523,2.21153,-0.03824
32.76021,-97.56938,27502.49219,-0.72023,2.21153,-0.03827
32.76022,-97.53746,27501.58594,-0.97023,2.08653,-0.03827
32.76023,-97.50554,27500.24219,-1.22023,2.02403,-0.03825
32.76023,-97.47361,27505.17969,-1.28273,2.08653,-0.03819
32.76021,-97.44169,27507.80469,-1.15773,2.14903,0.08087
32.76019,-97.40976,27510.05469,-0.84523,2.14903,0.08084
32.76016,-97.37784,27513.08594,-0.47023,2.08653,0.08087
32.76012,-97.34591,27515.05469,-0.15773,2.08653,0.08093
32.76007,-97.31399,27520.17969,-0.03273,2.27403,0.08098
32.76001,-97.28206,27524.24219,-0.09523,2.46153,0.08102
32.75994,-97.25014,27526.39844,-0.28273,2.64903,0.081
32.75987,-97.21821,27531.39844,-0.53273,2.71153,0.08096
32.75978,-97.18629,27538.55469,-0.72023,2.77403,0.08093
32.75968,-97.15437,27538.42969,-0.72023,2.64903,0.08093
32.75958,-97.12244,27532.46094,-0.59523,2.46153,0.08096
32.75946,-97.09052,27523.96094,-0.47023,2.33653,-0.03819
32.75934,-97.05859,27519.11719,-0.40773,2.33653,-0.03818
32.75921,-97.02667,27517.92969,-0.28273,2.58653,-0.03819
32.75906,-96.99475,27513.24219,-0.22023,3.08653,-0.03821
32.75891,-96.96282,27512.14844,-0.28273,3.64903,-0.03823
32.75875,-96.9309,27514.96094,-0.53273,4.14903,-0.03825
32.75858,-96.89897,27518.80469,-0.84523,4.33653,0.08114
32.787,-97.63328,27509.86719,-0.15773,1.52403,-0.03822
32.78703,-97.60134,27500.52344,-0.34523,1.77403,-0.15746
32.78705,-97.56941,27499.67969,-0.65773,1.83653,-0.03824
32.78707,-97.53747,27498.46094,-0.90773,1.77403,-0.03827
32.78708,-97.50554,27503.52344,-1.09523,1.83653,-0.03828
32.78707,-97.4736,27511.17969,-1.09523,1.96153,-0.03826
32.78706,-97.44167,27512.33594,-1.03273,2.08653,-0.03821
32.78704,-97.40973,27514.33594,-0.84523,2.14903,0.08091
32.78701,-97.37779,27514.33594,-0.53273,2.14903,0.08087
32.78697,-97.34586,27514.80469,-0.22023,2.21153,0.08089
32.78692,-97.31392,27516.30469,0.02977,2.39903,0.08093
32.78686,-97.28199,27520.92969,0.09227,2.64903,-0.0382
32.78679,-97.25005,27529.24219,-0.09523,2.83653,-0.03822
32.78671,-97.21812,27541.61719,-0.47023,2.96153,-0.03821
32.78663,-97.18618,27544.89844,-0.78273,3.02403,-0.03819
32.78653,-97.15425,27537.61719,-0.90773,2.89903,0.08093
32.78642,-97.12231,27532.61719,-0.78273,2.64903,0.08091
32.78631,-97.09037,27526.92969,-0.53273,2.39903,0.08091
32.78619,-97.05844,27520.77344,-0.28273,2.33653,-0.03818
32.78605,-97.0265,27516.86719,-0.03273,2.52403,-0.0382
32.78591,-96.99457,27513.67969,0.09227,3.02403,-0.03822
32.78576,-96.96264,27510.61719,-0.03273,3.58653,-0.03824
32.7856,-96.9307,27509.30469,-0.34523,4.08653,-0.03824
32.78543,-96.89877,27510.42969,-0.78273,4.33653,-0.03825
32.81384,-97.63333,27500.49219,0.15477,1.02403,-0.0382
32.81388,-97.60138,27500.21094,-0.15773,1.21153,-0.0382
32.8139,-97.56943,27498.05469,-0.47023,1.27403,-0.03821
32.81392,-97.53749,27500.64844,-0.72023,1.39903,-0.03825
32.81392,-97.50554,27507.71094,-0.84523,1.52403,-0.03829
32.81392,-97.47359,27509.96094,-0.90773,1.77403,-0.03831
32.81391,-97.44165,27510.89844,-0.97023,1.96153,-0.03827
32.81389,-97.4097,27512.80469,-0.84523,2.02403,0.08102
32.81386,-97.37775,27512.99219,-0.53273,2.02403,0.08093
