level,latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
1,32.83961,-96.99422,181.21689,-3.62477,1.06646,-4e-05
1,32.83946,-96.96226,175.77939,-3.62477,1.56646,0.01608
1,32.83929,-96.93031,162.52939,-4.56227,2.25396,0.03218
1,32.83912,-96.89835,143.62314,-6.68727,2.50396,0.02411
1,32.86754,-97.63342,298.15439,5.25023,3.31646,0.01076
1,32.86758,-97.60145,294.27939,2.50023,1.12896,0.00806
1,32.8676,-97.56948,271.09189,0.31273,0.50396,0.00535
1,32.86762,-97.53751,240.09189,-0.87477,1.06646,0.00533
1,32.86763,-97.50554,213.02939,0.12523,2.12896,-0.00809
1,32.86762,-97.47357,212.09189,3.18773,1.31646,0.02409
1,32.86761,-97.4416,250.93564,4.93773,1.19146,0.043
1,32.86759,-97.40964,253.96689,2.50023,2.31646,0.02419
1,32.86756,-97.37767,244.21689,-1.18727,1.87896,0.02421
1,32.86752,-97.3457,221.37314,-3.12477,0.62896,0.02955
1,32.86747,-97.31373,207.40439,-4.56227,-0.80854,0.01878
1,32.86741,-97.28176,204.81064,-5.93727,-1.49604,-0.00542
1,32.86734,-97.24979,209.59189,-5.74977,-1.30854,-0.02425
1,32.86726,-97.21782,214.49814,-4.06227,-0.55854,-0.01081
1,32.86718,-97.18585,207.62314,-3.18727,0.00396,-4e-05
1,32.86708,-97.15389,201.46689,-3.49977,0.69146,0.00533
1,32.86697,-97.12192,193.31064,-4.12477,1.00396,0.01339
1,32.86686,-97.08995,184.90439,-4.87477,0.50396,0.0107
1,32.86673,-97.05798,180.15439,-4.99977,0.00396,-0.00273
1,32.8666,-97.02601,184.12314,-4.37477,0.06646,-0.00273
1,32.86646,-96.99404,177.34189,-3.56227,0.37896,0.01338
1,32.86631,-96.96208,161.09189,-3.18727,0.62896,0.01874
1,32.86614,-96.93011,145.68564,-4.24977,0.75396,0.01873
1,32.86597,-96.89814,146.68564,-7.12477,0.81646,-0.0081
1,32.8944,-97.63347,280.90439,3.00023,0.94146,-0.00814
1,32.89443,-97.60149,274.71689,1.75023,0.19146,-0.00544
1,32.89446,-97.56951,249.27939,0.93773,0.50396,-0.00811
1,32.89447,-97.53752,230.52939,-0.12477,1.12896,-4e-05
1,32.89448,-97.50554,212.96689,-0.43727,1.44146,0.00264
1,32.89447,-97.47356,223.18564,1.93773,0.37896,0.00264
1,32.89446,-97.44158,240.77939,4.50023,1.12896,0.02952
1,32.89444,-97.4096,260.87314,1.93773,2.56646,0.02421
1,32.89441,-97.37762,242.52939,-2.74977,1.50396,0.0296
1,32.89437,-97.34564,225.62314,-5.12477,0.12896,0.0215
1,32.89432,-97.31366,220.56064,-6.24977,-0.49604,0.00265
1,32.89426,-97.28168,219.74814,-6.49977,-0.24604,-0.01889
1,32.89419,-97.2497,226.81064,-5.31227,0.69146,-0.0162
1,32.89411,-97.21772,220.21689,-3.74977,1.50396,-4e-05
1,32.89403,-97.18574,213.96689,-3.18727,1.87896,0.00264
1,32.89393,-97.15376,208.62314,-3.68727,2.12896,0.01072
1,32.89383,-97.12179,198.62314,-4.87477,1.69146,0.02416
1,32.89371,-97.08981,188.46689,-5.49977,1.06646,0.00801
1,32.89359,-97.05783,191.65439,-4.99977,0.50396,0.00264
1,32.89345,-97.02585,177.93564,-4.24977,0.12896,0.01875
1,32.89331,-96.99387,164.99814,-3.74977,-0.05854,0.01069
1,32.89316,-96.96189,158.34189,-3.56227,-0.24604,0.01606
1,32.893,-96.92991,146.18564,-4.81227,-0.55854,0.01337
1,32.92125,-97.63351,283.09189,2.06273,-0.24604,-0.01354
1,32.92128,-97.60152,259.18564,2.12523,0.19146,-0.01889
1,32.92131,-97.56953,239.52939,1.81273,0.75396,-0.0081
1,32.92133,-97.53754,225.77939,0.00023,1.00396,0.00801
1,32.92133,-97.50555,214.87314,-1.18727,0.62896,-0.00541
1,32.92133,-97.47356,248.27939,1.81273,0.44146,-0.00543
1,32.92132,-97.44156,259.77939,5.00023,2.37896,0.0188
1,32.92129,-97.40957,260.65439,1.43773,3.75396,0.02422
1,32.92126,-97.37758,244.52939,-4.37477,1.75396,0.02691
1,32.92122,-97.34559,244.12314,-6.37477,0.25396,0.00265
1,32.92117,-97.3136,242.46689,-6.43727,0.37896,0.00804
1,32.92111,-97.28161,237.46689,-5.99977,1.25396,0.01613
1,32.92105,-97.24962,227.81064,-4.87477,2.00396,0.01611
1,32.92097,-97.21763,219.87314,-3.93727,1.94146,0.0161
1,32.92088,-97.18564,212.62314,-3.93727,1.50396,0.02149
1,32.92078,-97.15364,201.21689,-4.81227,1.25396,0.02149
1,32.92068,-97.12165,200.15439,-5.68727,1.25396,-0.00274
1,32.92056,-97.08966,205.71689,-5.99977,1.37896,0.00803
1,32.92044,-97.05767,193.90439,-5.62477,1.19146,0.02416
1,32.92031,-97.02568,179.49814,-4.99977,0.62896,0.01339
1,32.92016,-96.99369,172.02939,-4.56227,0.00396,0.0107
1,32.92001,-96.9617,160.43564,-4.43727,-0.12104,0.02143
1,32.91985,-96.92971,146.12314,-5.31227,-0.18354,0.00264
1,32.9481,-97.63356,258.74814,2.31273,0.06646,-0.01889
1,32.94814,-97.60156,238.43564,2.81273,0.69146,-0.0081
1,32.94816,-97.56955,244.02939,2.25023,1.19146,0.0107
1,32.94818,-97.53755,235.77939,-0.18727,1.06646,0.01339
1,32.94819,-97.50555,216.74814,-1.43727,0.62896,-0.00541
1,32.94818,-97.47355,240.93564,2.75023,1.25396,0.00533
1,32.94817,-97.44154,271.02939,5.75023,3.62896,0.02423
1,32.94815,-97.40954,266.27939,0.12523,3.50396,0.04318
1,32.94812,-97.37754,249.84189,-6.31227,0.69146,0.03506
1,32.94808,-97.34554,246.90439,-7.06227,-0.62104,0.01345
1,32.94803,-97.31353,240.96689,-5.99977,-0.68354,0.02422
1,32.94797,-97.28153,236.02939,-5.49977,-0.12104,0.01613
1,32.9479,-97.24953,232.84189,-5.12477,0.06646,0.01344
1,32.94782,-97.21753,232.12314,-4.81227,-0.49604,0.01884
1,32.94774,-97.18553,221.12314,-4.74977,-1.12104,0.02962
1,32.94764,-97.15352,212.56064,-5.31227,-0.80854,0.02422
1,32.94753,-97.12152,205.06064,-5.74977,0.31646,0.01612
1,32.94742,-97.08952,198.90439,-5.93727,1.12896,0.01072
1,32.94729,-97.05752,189.40439,-6.31227,1.37896,0.02147
1,32.94716,-97.02552,175.68564,-6.12477,1.00396,0.01608
1,32.94702,-96.99352,168.81064,-5.06227,0.50396,0.01338
1,32.94686,-96.96151,153.84189,-4.49977,0.62896,0.01874
1,32.9467,-96.92951,147.18564,-5.37477,1.00396,-0.01078
1,32.97496,-97.6336,256.18564,2.87523,0.50396,-0.00543
1,32.97499,-97.60159,257.74814,3.18773,1.06646,0.01072
1,32.97502,-97.56958,261.37314,2.37523,1.25396,0.00534
1,32.97504,-97.53756,239.71689,-0.31227,1.06646,0.0134
1,32.97504,-97.50555,217.71689,-0.99977,0.81646,-0.00273
1,32.97504,-97.47354,237.81064,4.00023,2.37896,0.01071
1,32.97503,-97.44152,256.93564,5.81273,3.56646,0.04576
1,32.975,-97.40951,267.96689,-1.87477,1.06646,0.05944
1,32.97497,-97.3775,247.68564,-7.99977,-1.30854,0.06482
1,32.97493,-97.34548,230.09189,-7.43727,-1.99604,0.04039
1,32.97488,-97.31347,215.12314,-5.74977,-2.30854,0.01879
1,32.97482,-97.28146,218.52939,-5.37477,-2.37104,0.01072
1,32.97476,-97.24944,221.71689,-5.56227,-2.62104,0.00804
1,32.97468,-97.21743,223.31064,-5.43727,-3.12104,0.0323
1,32.97459,-97.18542,212.34189,-4.62477,-3.24604,0.03497
1,32.97449,-97.1534,199.71689,-4.31227,-2.24604,0.03495
1,32.97439,-97.12139,186.56064,-5.68727,-0.62104,0.03222
1,32.97427,-97.08938,177.74814,-6.68727,0.25396,0.01339
1,32.97415,-97.05736,174.34189,-6.12477,0.69146,0.01338
1,32.97402,-97.02535,166.65439,-5.74977,0.62896,0.01338
1,32.97387,-96.99334,161.43564,-4.81227,0.44146,0.00801
1,32.97372,-96.96133,153.27939,-4.06227,0.44146,0.01338
1,32.97356,-96.92931,151.90439,-5.12477,0.94146,-0.00542
1,33.00182,-97.63365,275.77939,3.25023,0.62896,-0.00274
1,33.00185,-97.60163,265.87314,3.18773,1.19146,-0.01352
1,33.00188,-97.5696,257.21689,2.18773,1.44146,-0.0135
1,33.00189,-97.53758,232.56064,-0.18727,1.50396,-4e-05
1,33.0019,-97.50555,221.99814,0.50023,1.75396,-0.00273
1,33.0019,-97.47353,250.87314,4.93773,3.06646,0.05104
1,33.00188,-97.4415,272.24814,3.18773,1.56646,0.05661
1,33.00186,-97.40948,269.96689,-4.87477,-1.74604,0.05673
1,33.00183,-97.37745,253.77939,-8.74977,-2.37104,0.05132
1,33.00179,-97.34543,235.62314,-7.56227,-2.12104,0.03501
1,33.00174,-97.3134,218.12314,-5.93727,-2.37104,0.02687
1,33.00168,-97.28138,203.87314,-5.62477,-2.80854,0.00264
1,33.00161,-97.24936,214.56064,-5.81227,-3.24604,0.01341
1,33.00153,-97.21733,201.65439,-5.24977,-3.49604,0.03224
1,33.00145,-97.18531,197.21689,-3.74977,-3.18354,0.01878
1,33.00135,-97.15328,185.65439,-2.74977,-2.18354,0.01071
1,33.00125,-97.12126,181.65439,-3.56227,-0.99604,-0.00542
1,33.00113,-97.08923,194.31064,-4.81227,-0.37104,-0.00811
1,33.00101,-97.05721,188.99814,-5.43727,-0.12104,0.02415
1,33.00087,-97.02519,174.59189,-5.68727,-0.18354,0.02144
1,33.00073,-96.99316,168.24814,-4.74977,-0.37104,0.01607
1,33.00058,-96.96114,152.84189,-3.87477,-0.55854,0.01338
1,33.00041,-96.92912,159.02939,-5.06227,-0.30854,-0.00811
1,33.02868,-97.6337,277.77939,3.56273,1.19146,-0.02163
1,33.02871,-97.60166,251.52939,3.31273,2.12896,-0.02964
1,33.02873,-97.56963,236.87314,2.43773,2.69146,-0.0269
1,33.02875,-97.53759,221.06064,0.56273,3.12896,-0.00809
1,33.02876,-97.50555,237.15439,1.43773,3.81646,0.01877
1,33.02875,-97.47352,270.15439,3.31273,2.56646,0.04577
1,33.02874,-97.44148,280.06064,-0.62477,-1.18354,0.04318
1,33.02872,-97.40945,257.27939,-6.24977,-2.93354,0.05393
1,33.02869,-97.37741,245.43564,-7.99977,-1.93354,0.03233
1,33.02865,-97.34538,230.12314,-7.31227,-0.99604,0.02689
1,33.0286,-97.31334,217.43564,-6.37477,-0.87104,0.01878
1,33.02854,-97.2813,204.87314,-5.99977,-1.24604,0.01877
1,33.02847,-97.24927,193.71689,-5.93727,-1.62104,0.01339
1,33.02839,-97.21723,189.40439,-5.12477,-1.80854,0.00264
1,33.02831,-97.1852,182.90439,-3.56227,-1.49604,-0.0081
1,33.02821,-97.15316,192.81064,-2.81227,-0.93354,-0.01885
1,33.0281,-97.12113,203.12314,-3.43727,-0.43354,-0.01349
1,33.02799,-97.08909,208.56064,-4.24977,-0.24604,0.00803
1,33.02786,-97.05706,191.74814,-4.87477,-0.24604,0.02684
1,33.02773,-97.02502,179.59189,-5.31227,-0.30854,0.02145
1,33.02759,-96.99299,165.59189,-4.74977,-0.43354,0.01875
1,33.02743,-96.96095,154.77939,-4.31227,-0.74604,0.00264
1,33.02727,-96.92892,163.18564,-5.62477,-0.87104,-0.02154
1,33.05553,-97.63374,274.77939,4.56273,3.06646,-0.03238
1,33.05557,-97.6017,254.74814,3.87523,4.00396,-0.04576
1,33.05559,-97.56965,230.12314,2.87523,4.06646,-0.01883
1,33.05561,-97.5376,224.12314,1.56273,4.19146,0.01337
1,33.05562,-97.50556,251.12314,0.68773,4.87896,0.02148
1,33.05561,-97.47351,288.56064,-0.49977,1.87896,0.01346
1,33.0556,-97.44146,274.56064,-3.18727,-1.99604,0.02157
1,33.05558,-97.40942,265.27939,-5.87477,-2.43354,0.01615
1,33.05555,-97.37737,251.18564,-6.74977,-1.30854,0.02423
1,33.05551,-97.34532,238.68564,-6.62477,-0.37104,0.02691
1,33.05546,-97.31327,224.68564,-6.31227,0.00396,0.04033
1,33.0554,-97.28123,202.37314,-6.37477,0.00396,0.02683
1,33.05533,-97.24918,200.77939,-6.62477,-0.37104,-0.00273
1,33.05525,-97.21713,201.12314,-5.99977,-0.68354,-0.00542
1,33.05516,-97.18509,200.43564,-4.37477,-0.68354,-0.01886
1,33.05507,-97.15304,213.77939,-3.49977,-0.43354,-0.01081
1,33.05496,-97.121,211.77939,-3.93727,-0.24604,0.01342
1,33.05485,-97.08895,201.12314,-4.56227,-0.18354,0.0161
1,33.05472,-97.0569,194.81064,-5.06227,-0.05854,0.0161
1,33.05459,-97.02486,182.81064,-5.68727,0.06646,0.02953
1,33.05445,-96.99281,165.24814,-5.43727,0.06646,0.0268
1,33.05429,-96.96076,155.09189,-4.99977,-0.12104,-0.00273
1,33.05413,-96.92872,168.65439,-6.12477,-0.24604,-0.02423
1,33.0824,-97.63379,252.02939,5.31273,4.87896,-0.05382
1,33.08243,-97.60173,235.43564,3.62523,4.37896,-0.02958
1,33.08245,-97.56967,229.52939,2.62523,3.25396,0.01069
1,33.08247,-97.53762,230.77939,2.18773,2.94146,0.02951
1,33.08248,-97.50556,256.65439,-0.12477,3.62896,0.02959
1,33.08247,-97.4735,294.06064,-3.43727,1.87896,-0.00816
1,33.08246,-97.44144,287.77939,-4.93727,-0.74604,0.01618
1,33.08244,-97.40938,274.90439,-5.56227,-1.49604,0.02426
1,33.08241,-97.37733,259.49814,-5.99977,-1.24604,0.03773
1,33.08237,-97.34527,240.09189,-6.06227,-0.87104,0.04578
1,33.08232,-97.31321,220.96689,-6.18727,-0.49604,0.04571
1,33.08226,-97.28115,205.71689,-6.87477,-0.49604,0.00533
1,33.08219,-97.24909,217.21689,-7.43727,-0.93354,-0.02428
1,33.08211,-97.21704,218.59189,-6.49977,-1.49604,-0.01082
1,33.08203,-97.18498,218.12314,-4.62477,-1.87104,-0.01082
1,33.08193,-97.15292,219.34189,-3.62477,-1.55854,0.01342
1,33.08182,-97.12086,207.90439,-3.93727,-1.05854,0.0215
1,33.08171,-97.08881,200.68564,-4.49977,-0.49604,0.0188
1,33.08158,-97.05675,189.31064,-4.99977,-0.24604,0.02417
1,33.08145,-97.02469,176.96689,-6.93727,-0.24604,0.03222
1,33.08131,-96.99263,168.87314,-8.93727,-0.62104,0.01877
1,33.08115,-96.96058,167.74814,-7.99977,-0.43354,-0.00811
1,33.08099,-96.92852,172.99814,-6.24977,-0.18354,-0.01617
1,33.10926,-97.63384,225.12314,4.06273,4.56646,-4e-05
1,33.10929,-97.60177,233.40439,1.81273,2.50396,0.02145
1,33.10932,-97.5697,243.77939,1.87523,0.94146,0.01341
1,33.10933,-97.53763,254.71689,2.75023,0.75396,0.02689
1,33.10934,-97.50556,280.43564,0.31273,1.75396,0.03777
1,33.10934,-97.47349,295.34189,-4.31227,1.81646,0.01348
1,33.10932,-97.44142,282.90439,-6.24977,0.56646,0.02158
1,33.1093,-97.40935,271.49814,-6.18727,-0.62104,0.03506
1,33.10927,-97.37728,249.59189,-5.99977,-1.37104,0.04848
1,33.10923,-97.34521,229.09189,-5.81227,-1.55854,0.04303
1,33.10918,-97.31314,211.12314,-6.12477,-1.43354,0.02416
1,33.10912,-97.28108,211.27939,-7.24977,-1.55854,-0.02964
1,33.10905,-97.24901,232.12314,-7.93727,-1.93354,-0.04048
1,33.10897,-97.21694,234.46689,-6.81227,-2.49604,-4e-05
1,33.10889,-97.18487,223.74814,-4.24977,-3.12104,0.01612
1,33.10879,-97.1528,208.62314,-2.43727,-2.80854,0.01879
1,33.10868,-97.12073,198.12314,-2.81227,-1.93354,0.02954
