latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,13267.22266,25.1716,27.58478,0.67191
32.76018,-97.60131,13264.25391,25.8591,27.39728,0.33995
32.76021,-97.56938,13259.59766,26.5466,27.27228,0.12302
32.76022,-97.53746,13258.56641,26.7341,27.45978,0.02024
32.76023,-97.50554,13256.41016,25.8591,28.02228,-0.02553
32.76023,-97.47361,13260.25391,24.2341,28.77228,-0.02551
32.76021,-97.44169,13261.72266,22.7341,29.33478,0.02019
32.76019,-97.40976,13262.69141,21.8591,29.95978,0.08846
32.76016,-97.37784,13265.28516,21.4841,30.39728,0.21332
32.76012,-97.34591,13268.09766,21.1091,30.77228,0.40615
32.76007,-97.31399,13273.69141,21.2341,32.33478,0.47357
32.76001,-97.28206,13276.97266,22.7341,33.52228,0.08804
32.75994,-97.25014,13280.50391,23.7966,31.83478,-0.28622
32.75987,-97.21821,13292.41016,20.7966,29.08478,0.1789
32.75978,-97.18629,13305.37891,16.4216,24.39728,1.2322
32.75968,-97.15437,13305.47266,18.2341,19.64728,1.74216
32.75958,-97.12244,13295.91016,23.5466,17.33478,0.73224
32.75946,-97.09052,13284.59766,25.5466,19.08478,0.24452
32.75934,-97.05859,13279.34766,24.3591,21.58478,0.70846
32.75921,-97.02667,13277.84766,22.7966,22.83478,0.87881
32.75906,-96.99475,13272.59766,21.5466,23.77228,0.50606
32.75891,-96.96282,13271.69141,19.7341,25.14728,0.27931
32.75875,-96.9309,13272.22266,17.9841,26.33478,0.07599
32.75858,-96.89897,13272.78516,17.2341,26.39728,0.12049
32.787,-97.63328,13274.87891,25.1716,28.14728,0.83346
32.78703,-97.60134,13265.09766,25.6716,28.20978,0.68334
32.78705,-97.56941,13262.34766,26.6716,28.02228,0.3974
32.78707,-97.53747,13258.50391,27.5466,27.89728,0.20328
32.78708,-97.50554,13260.91016,27.5466,28.27228,0.06612
32.78707,-97.4736,13266.81641,26.3591,28.95978,-0.01412
32.78706,-97.44167,13266.66016,24.5466,29.64728,0.03172
32.78704,-97.40973,13267.75391,23.2966,30.27228,0.0887
32.78701,-97.37779,13267.75391,22.7966,30.77228,0.13416
32.78697,-97.34586,13269.84766,22.5466,30.70978,0.27062
32.78692,-97.31392,13273.62891,22.7966,30.58478,0.33843
32.78686,-97.28199,13279.56641,23.2341,30.02228,0.16786
32.78679,-97.25005,13291.34766,22.6716,29.02228,0.32706
32.78671,-97.21812,13307.53516,19.9216,28.70978,0.48578
32.78663,-97.18618,13311.00391,16.8591,26.77228,0.57215
32.78653,-97.15425,13303.22266,17.3591,22.95978,0.72332
32.78642,-97.12231,13298.41016,21.3591,20.52228,1.36978
32.78631,-97.09037,13291.09766,25.0466,22.77228,1.34609
32.78619,-97.05844,13285.09766,25.7966,25.33478,1.16272
32.78605,-97.0265,13282.53516,24.2966,25.33478,1.32469
32.78591,-96.99457,13279.00391,22.4216,24.89728,1.15418
32.78576,-96.96264,13274.44141,20.6716,25.58478,0.72126
32.7856,-96.9307,13270.69141,19.1716,26.89728,0.30141
32.78543,-96.89877,13268.09766,18.1716,27.64728,0.00863
32.81384,-97.63333,13263.59766,26.0466,28.02228,0.47996
32.81388,-97.60138,13265.56641,25.9841,28.20978,0.66244
32.8139,-97.56943,13262.66016,26.8591,27.83478,0.63875
32.81392,-97.53749,13262.28516,28.1091,27.39728,0.49
32.81392,-97.50554,13266.53516,28.9841,27.27228,0.26141
32.81392,-97.47359,13267.72266,28.4841,27.64728,0.21606
32.81391,-97.44165,13268.78516,26.6716,28.39728,0.29655
32.81389,-97.4097,13270.84766,24.9216,29.33478,0.34137
32.81386,-97.37775,13271.22266,23.9841,30.08478,0.29471
