latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,20455.87305,-1.63449,1.11258,-0.12819
32.76018,-97.60131,20455.4668,-1.75949,1.23758,-0.20335
32.76021,-97.56938,20451.68555,-2.13449,1.67508,-0.31613
32.76022,-97.53746,20451.0918,-2.38449,2.30008,-0.16608
32.76023,-97.50554,20450.93555,-2.32199,2.98758,0.09648
32.76023,-97.47361,20457.3418,-2.07199,3.67508,0.35888
32.76021,-97.44169,20460.0918,-2.07199,4.11258,0.54666
32.76019,-97.40976,20460.2793,-2.19699,4.23758,0.54714
32.76016,-97.37784,20460.6543,-2.44699,4.05008,0.35952
32.76012,-97.34591,20461.1543,-2.57199,3.80008,0.2844
32.76007,-97.31399,20465.9668,-2.69699,3.42508,0.20923
32.76001,-97.28206,20470.0918,-2.82199,3.11258,0.1341
32.75994,-97.25014,20471.81055,-3.19699,2.92508,0.09648
32.75987,-97.21821,20475.4668,-3.88449,2.86258,0.13386
32.75978,-97.18629,20481.0293,-4.50949,2.80008,0.1337
32.75968,-97.15437,20479.5918,-4.88449,2.67508,0.13355
32.75958,-97.12244,20473.37305,-4.88449,2.42508,0.17072
32.75946,-97.09052,20464.37305,-4.69699,1.98758,0.20794
32.75934,-97.05859,20457.62305,-4.44699,1.36258,0.13323
32.75921,-97.02667,20454.3418,-4.13449,0.73758,0.02133
32.75906,-96.99475,20447.9043,-3.82199,0.11258,-0.12751
32.75891,-96.96282,20445.12305,-3.44699,-0.44992,-0.23898
32.75875,-96.9309,20446.24805,-3.13449,-0.94992,-0.31343
32.75858,-96.89897,20448.56055,-2.88449,-1.19992,-0.31371
32.787,-97.63328,20462.4043,-1.82199,1.55008,0.05877
32.78703,-97.60134,20452.18555,-1.63449,1.23758,-0.09079
32.78705,-97.56941,20449.99805,-1.63449,1.36258,-0.16589
32.78707,-97.53747,20447.9043,-1.69699,1.86258,-0.01604
32.78708,-97.50554,20453.37305,-1.63449,2.55008,0.09665
32.78707,-97.4736,20462.06055,-1.63449,3.23758,0.20947
32.78706,-97.44167,20462.62305,-1.94699,3.73758,0.32253
32.78704,-97.40973,20462.06055,-2.44699,3.86258,0.20978
32.78701,-97.37779,20460.06055,-2.82199,3.67508,0.09682
32.78697,-97.34586,20461.0293,-3.00949,3.36258,0.17194
32.78692,-97.31392,20465.12305,-2.94699,3.17508,0.24706
32.78686,-97.28199,20472.49805,-3.00949,2.98758,0.35973
32.78679,-97.25005,20481.7793,-3.25949,2.98758,0.39731
32.78671,-97.21812,20492.3418,-3.88449,3.17508,0.39719
32.78663,-97.18618,20491.8418,-4.57199,3.23758,0.3592
32.78653,-97.15425,20480.2168,-5.07199,3.17508,0.2088
32.78642,-97.12231,20472.7793,-5.32199,2.92508,0.13366
32.78631,-97.09037,20465.6543,-5.38449,2.36258,0.13351
32.78619,-97.05844,20457.99805,-5.25949,1.61258,0.09605
32.78605,-97.0265,20453.5293,-4.88449,0.92508,-0.05318
32.78591,-96.99457,20450.37305,-4.44699,0.36258,-0.12743
32.78576,-96.96264,20446.9668,-3.88449,-0.07492,-0.27583
32.7856,-96.9307,20444.74805,-3.38449,-0.51242,-0.3501
32.78543,-96.89877,20444.68555,-2.94699,-0.82492,-0.35042
32.81384,-97.63333,20451.24805,-2.19699,1.61258,-0.01598
32.81388,-97.60138,20449.9043,-1.82199,1.30008,-0.01597
32.8139,-97.56943,20446.4668,-1.44699,1.30008,0.02144
32.81392,-97.53749,20447.81055,-1.19699,1.61258,0.02149
32.81392,-97.50554,20455.4043,-1.07199,2.05008,-0.05365
32.81392,-97.47359,20458.7793,-1.19699,2.55008,-0.01609
32.81391,-97.44165,20458.8418,-1.75949,2.92508,0.09693
32.81389,-97.4097,20458.2793,-2.50949,3.11258,0.05927
32.81386,-97.37775,20457.37305,-3.00949,3.05008,0.05924
32.81382,-97.3458,20458.31055,-3.19699,2.98758,0.13445
32.81377,-97.31386,20462.43555,-3.13449,2.73758,0.28482
32.81371,-97.28191,20470.7793,-3.07199,2.48758,0.47302
32.81364,-97.24996,20477.7793,-3.25949,2.36258,0.54875
32.81356,-97.21802,20487.0293,-3.82199,2.55008,0.51139
32.81348,-97.18607,20484.2168,-4.57199,2.86258,0.32272
32.81338,-97.15413,20477.7793,-5.25949,2.98758,0.13426
32.81327,-97.12218,20473.9668,-5.82199,2.73758,-0.05351
32.81316,-97.09023,20466.5293,-6.07199,2.11258,-0.01599
32.81303,-97.05829,20459.87305,-6.00949,1.48758,-0.09063
32.8129,-97.02634,20455.2793,-5.57199,0.86258,-0.20215
32.81276,-96.99439,20453.5293,-4.94699,0.55008,-0.20167
32.81261,-96.96245,20450.74805,-4.19699,0.30008,-0.23848
32.81244,-96.9305,20444.31055,-3.63449,-0.01242,-0.2755
32.81227,-96.89856,20441.37305,-3.13449,-0.32492,-0.27558
32.84069,-97.63337,20451.0293,-2.25949,0.92508,-0.31529
32.84073,-97.60141,20445.6543,-1.88449,0.92508,-0.16549
32.84075,-97.56946,20444.2168,-1.25949,1.05008,-0.09087
32.84077,-97.5375,20448.0293,-0.88449,1.23758,-0.16608
32.84077,-97.50554,20451.4668,-0.75949,1.42508,-0.27911
32.84077,-97.47358,20455.99805,-0.94699,1.55008,-0.24203
32.84076,-97.44163,20451.93555,-1.57199,1.80008,-0.09151
32.84074,-97.40967,20450.56055,-2.44699,2.17508,-0.01612
32.84071,-97.37771,20451.5918,-3.07199,2.55008,-0.05381
32.84067,-97.34575,20452.99805,-3.38449,2.55008,-0.0161
32.84062,-97.31379,20454.62305,-3.44699,2.23758,0.09685
32.84056,-97.28184,20459.49805,-3.38449,1.67508,0.17209
32.84049,-97.24988,20465.18555,-3.32199,1.23758,0.20991
32.84041,-97.21792,20468.2168,-3.63449,1.23758,0.24786
32.84032,-97.18596,20471.93555,-4.32199,1.67508,0.21015
32.84023,-97.15401,20476.93555,-5.19699,2.17508,0.20991
32.84012,-97.12205,20477.0293,-6.07199,2.23758,0.13422
32.84001,-97.09009,20476.49805,-6.57199,1.86258,0.17123
32.83988,-97.05813,20470.18555,-6.57199,1.42508,-0.0906
32.83975,-97.02618,20459.62305,-6.07199,1.11258,-0.20191
32.83961,-96.99422,20456.12305,-5.19699,0.92508,-0.05299
32.83946,-96.96226,20452.56055,-4.44699,0.80008,-0.09004
32.83929,-96.93031,20445.06055,-3.82199,0.48758,-0.23834
32.83912,-96.89835,20440.99805,-3.32199,0.11258,-0.2012
32.86754,-97.63342,20449.5293,-2.07199,0.17508,-0.61315
32.86758,-97.60145,20441.4668,-1.57199,0.36258,-0.50132
32.8676,-97.56948,20442.5293,-1.00949,0.61258,-0.35271
32.86762,-97.53751,20445.93555,-0.82199,0.73758,-0.46577
32.86763,-97.50554,20449.7793,-0.75949,0.61258,-0.54136
32.86762,-97.47357,20459.4668,-0.82199,0.55008,-0.4293
32.86761,-97.4416,20453.74805,-1.19699,0.80008,-0.35479
32.86759,-97.40964,20447.18555,-1.94699,1.42508,-0.35552
32.86756,-97.37767,20445.0293,-2.88449,1.98758,-0.35573
32.86752,-97.3457,20446.7168,-3.63449,2.05008,-0.31771
32.86747,-97.31373,20446.3418,-4.00949,1.61258,-0.31725
32.86741,-97.28176,20449.8418,-3.88449,0.86258,-0.27927
32.86734,-97.24979,20457.06055,-3.50949,0.17508,-0.16647
32.86726,-97.21782,20461.56055,-3.44699,-0.01242,0.02156
32.86718,-97.18585,20469.49805,-3.82199,0.36258,0.21009
32.86708,-97.15389,20474.93555,-4.75949,1.05008,0.17244
32.86697,-97.12192,20472.18555,-5.94699,1.48758,0.05919
32.86686,-97.08995,20472.87305,-6.75949,1.61258,-0.091
32.86673,-97.05798,20462.1543,-6.82199,1.61258,-0.2399
32.8666,-97.02601,20456.6543,-6.25949,1.67508,0.05849
32.86646,-96.99404,20459.68555,-5.44699,1.61258,0.20701
32.86631,-96.96208,20453.2168,-4.82199,1.30008,-0.05299
32.86614,-96.93011,20444.81055,-4.19699,0.86258,-0.2755
32.86597,-96.89814,20441.4668,-3.57199,0.55008,-0.23827
32.8944,-97.63347,20445.1543,-1.94699,0.23758,-0.61097
32.89443,-97.60149,20445.2793,-1.19699,0.36258,-0.53722
32.89446,-97.56951,20443.6543,-0.75949,0.36258,-0.57582
32.89447,-97.53752,20443.8418,-0.69699,0.30008,-0.72662
32.89448,-97.50554,20446.18555,-0.69699,0.17508,-0.65201
32.89447,-97.47356,20451.5293,-0.57199,0.36258,-0.39058
32.89446,-97.44158,20452.24805,-0.63449,0.86258,-0.24146
32.89444,-97.4096,20447.9043,-1.44699,1.30008,-0.35541
32.89441,-97.37762,20445.7793,-2.75949,1.48758,-0.50681
32.89437,-97.34564,20445.8418,-3.88449,1.30008,-0.61913
32.89432,-97.31366,20446.93555,-4.50949,0.86258,-0.65528
32.89426,-97.28168,20450.99805,-4.38449,0.23758,-0.57889
32.89419,-97.2497,20456.31055,-3.75949,-0.32492,-0.42854
32.89411,-97.21772,20462.3418,-3.25949,-0.69992,-0.24132
32.89403,-97.18574,20465.99805,-3.38449,-0.63742,-0.01607
32.89393,-97.15376,20475.2793,-4.19699,-0.19992,-0.01609
32.89383,-97.12179,20475.12305,-5.44699,0.48758,-0.16647
32.89371,-97.08981,20471.8418,-6.32199,1.17508,-0.31594
32.89359,-97.05783,20464.8418,-6.57199,1.73758,-0.12804
32.89345,-97.02585,20462.0293,-6.32199,2.11258,0.20775
32.89331,-96.99387,20458.99805,-5.88449,1.98758,0.17027
32.89316,-96.96189,20448.6543,-5.38449,1.48758,-0.20179
32.893,-96.92991,20442.37305,-4.69699,1.05008,-0.34989
32.92125,-97.63351,20458.0293,-2.00949,1.30008,-0.27591
32.92128,-97.60152,20452.4668,-1.19699,1.17508,-0.35052
32.92131,-97.56953,20445.93555,-0.75949,0.86258,-0.53738
32.92133,-97.53754,20443.87305,-0.63449,0.55008,-0.6497
32.92133,-97.50555,20445.7168,-0.32199,0.48758,-0.61278
32.92133,-97.47356,20448.93555,0.11551,0.86258,-0.27796
32.92132,-97.44156,20452.4043,-0.25949,1.36258,-0.0537
32.92129,-97.40957,20447.81055,-1.57199,1.23758,-0.24274
32.92126,-97.37758,20444.87305,-3.13449,0.80008,-0.5823
32.92122,-97.34559,20445.7793,-4.25949,0.48758,-0.76876
32.92117,-97.3136,20446.62305,-4.82199,0.30008,-0.72877
32.92111,-97.28161,20447.9668,-4.63449,0.11258,-0.61496
32.92105,-97.24962,20450.9043,-3.94699,-0.19992,-0.50221
32.92097,-97.21763,20456.9668,-3.38449,-0.69992,-0.35271
32.92088,-97.18564,20465.1543,-3.19699,-1.01242,-0.20323
32.92078,-97.15364,20477.81055,-3.69699,-0.88742,-0.091
32.92068,-97.12165,20475.18555,-4.57199,-0.19992,-0.09103
32.92056,-97.08966,20468.5293,-5.38449,0.67508,-0.09098
32.92044,-97.05767,20462.06055,-6.00949,1.48758,-0.016
32.92031,-97.02568,20454.24805,-6.25949,1.92508,-0.09079
32.92016,-96.99369,20446.43555,-6.25949,1.80008,-0.27731
32.92001,-96.9617,20440.93555,-5.94699,1.42508,-0.38828
32.91985,-96.92971,20440.5293,-5.13449,1.05008,-0.20161
32.9481,-97.63356,20467.81055,-2.13449,2.55008,0.05851
32.94814,-97.60156,20456.68555,-1.44699,2.36258,-0.05315
32.94816,-97.56955,20450.24805,-1.07199,1.98758,-0.20215
32.94818,-97.53755,20447.31055,-0.69699,1.55008,-0.3138
32.94819,-97.50555,20449.62305,-0.07199,1.42508,-0.2769
32.94818,-97.47355,20454.68555,0.36551,1.42508,-0.09098
32.94817,-97.44154,20455.5293,-0.44699,1.17508,-0.16701
32.94815,-97.40954,20450.62305,-2.25949,0.55008,-0.46975
32.94812,-97.37754,20447.18555,-3.63449,0.05008,-0.61895
32.94808,-97.34554,20449.12305,-4.32199,-0.01242,-0.54152
32.94803,-97.31353,20444.7168,-4.69699,0.36258,-0.50265
32.94797,-97.28153,20448.49805,-4.57199,0.55008,-0.4644
32.9479,-97.24953,20450.0918,-4.19699,0.36258,-0.42652
32.94782,-97.21753,20451.62305,-3.69699,-0.13742,-0.38897
32.94774,-97.18553,20458.43555,-3.32199,-0.57492,-0.23976
32.94764,-97.15352,20464.81055,-3.32199,-0.69992,-0.05331
32.94753,-97.12152,20460.18555,-3.82199,-0.32492,0.05884
32.94742,-97.08952,20451.0293,-4.50949,0.30008,-0.01601
32.94729,-97.05752,20444.0293,-5.38449,0.86258,-0.27837
32.94716,-97.02552,20440.3418,-6.07199,1.23758,-0.54041
32.94702,-96.99352,20436.18555,-6.44699,1.30008,-0.57684
32.94686,-96.96151,20436.24805,-6.25949,1.17508,-0.35146
32.9467,-96.92951,20441.37305,-5.50949,0.92508,0.02129
32.97496,-97.6336,20465.7168,-2.25949,3.11258,0.17062
32.97499,-97.60159,20456.81055,-1.69699,2.86258,0.05872
32.97502,-97.56958,20453.2168,-1.38449,2.61258,0.05872
32.97504,-97.53756,20451.0918,-1.00949,2.42508,0.02137
32.97504,-97.50555,20453.18555,-0.38449,2.17508,0.09614
32.97504,-97.47354,20460.9668,-0.25949,1.48758,-0.05357
32.97503,-97.44152,20458.5293,-1.25949,0.55008,-0.43056
32.975,-97.40951,20455.6543,-2.69699,-0.13742,-0.65702
32.97497,-97.3775,20453.93555,-3.63449,-0.19992,-0.57991
32.97493,-97.34548,20455.6543,-3.94699,0.17508,-0.35343
32.97488,-97.31347,20460.7168,-4.25949,0.73758,-0.20305
32.97482,-97.28146,20454.0918,-4.57199,1.11258,-0.12804
32.97476,-97.24944,20449.93555,-4.50949,0.98758,-0.1651
32.97468,-97.21743,20449.7168,-4.07199,0.67508,-0.27665
32.97459,-97.18542,20449.74805,-3.63449,0.30008,-0.20209
32.97449,-97.1534,20450.5293,-3.38449,0.05008,0.05863
32.97439,-97.12139,20448.43555,-3.57199,0.05008,0.17082
32.97427,-97.08938,20440.6543,-4.13449,0.17508,-0.016
32.97415,-97.05736,20435.49805,-4.94699,0.42508,-0.39058
32.97402,-97.02535,20432.12305,-5.75949,0.61258,-0.61496
32.97387,-96.99334,20432.18555,-6.25949,0.80008,-0.53945
32.97372,-96.96133,20436.87305,-6.25949,0.80008,-0.23983
32.97356,-96.92931,20443.43555,-5.69699,0.61258,0.13299
33.00182,-97.63365,20458.12305,-2.50949,2.80008,0.0588
33.00185,-97.60163,20454.81055,-2.00949,2.48758,0.02142
33.00188,-97.5696,20454.1543,-1.57199,2.30008,0.09625
33.00189,-97.53758,20455.56055,-1.13449,2.30008,0.17118
33.0019,-97.50555,20463.43555,-0.94699,2.11258,0.24641
33.0019,-97.47353,20463.56055,-1.32199,1.36258,0.02151
33.00188,-97.4415,20454.3418,-2.07199,0.55008,-0.16633
33.00186,-97.40948,20457.43555,-2.75949,0.17508,-0.35406
33.00183,-97.37745,20462.8418,-3.19699,0.23758,-0.50354
33.00179,-97.34543,20462.4668,-3.44699,0.48758,-0.35302
33.00174,-97.3134,20466.0918,-3.88449,0.92508,-0.05342
33.00168,-97.28138,20458.56055,-4.50949,1.30008,0.0588
33.00161,-97.24936,20452.8418,-4.75949,1.36258,-0.09063
33.00153,-97.21733,20452.56055,-4.44699,1.23758,-0.27681
33.00145,-97.18531,20453.56055,-3.94699,1.05008,-0.16496
33.00135,-97.15328,20454.7793,-3.69699,0.80008,0.17057
33.00125,-97.12126,20452.93555,-3.82199,0.61258,0.28298
33.00113,-97.08923,20445.49805,-4.19699,0.42508,0.09628
33.00101,-97.05721,20436.93555,-4.82199,0.23758,-0.27796
33.00087,-97.02519,20432.7793,-5.50949,0.17508,-0.50206
33.00073,-96.99316,20434.18555,-6.00949,0.17508,-0.50162
33.00058,-96.96114,20439.81055,-6.13449,0.17508,-0.27706
33.00041,-96.92912,20445.18555,-5.69699,0.05008,-0.05312
33.02868,-97.6337,20456.2168,-2.82199,1.86258,-0.09081
33.02871,-97.60166,20457.5293,-2.25949,1.61258,-0.12815
33.02873,-97.56963,20456.7168,-1.57199,1.42508,-0.01599
33.02875,-97.53759,20458.56055,-1.13449,1.48758,0.05896
33.02876,-97.50555,20469.0918,-1.19699,1.42508,0.09668
33.02875,-97.47352,20482.0918,-1.82199,1.17508,0.0591
33.02874,-97.44148,20473.9668,-2.38449,0.98758,0.17168
33.02872,-97.40945,20466.1543,-2.82199,1.05008,-0.01604
33.02869,-97.37741,20470.62305,-3.13449,1.05008,-0.31585
33.02865,-97.34538,20465.9043,-3.38449,0.92508,-0.31539
33.0286,-97.31334,20462.56055,-3.75949,0.92508,-0.01599
33.02854,-97.2813,20459.37305,-4.38449,1.11258,0.05887
33.02847,-97.24927,20457.24805,-4.75949,1.36258,-0.2778
33.02839,-97.21723,20458.87305,-4.57199,1.42508,-0.46398
33.02831,-97.1852,20462.43555,-4.19699,1.30008,-0.2399
33.02821,-97.15316,20462.7168,-4.00949,1.05008,0.17082
33.0281,-97.12113,20454.49805,-4.19699,0.86258,0.39556
33.02799,-97.08909,20448.1543,-4.57199,0.55008,0.28357
33.02786,-97.05706,20442.2168,-5.13449,0.17508,-0.16564
33.02773,-97.02502,20438.56055,-5.57199,-0.19992,-0.53882
33.02759,-96.99299,20439.9668,-5.88449,-0.38742,-0.68698
33.02743,-96.96095,20443.62305,-5.94699,-0.51242,-0.57395
33.02727,-96.92892,20447.24805,-5.38449,-0.57492,-0.34989
33.05553,-97.63374,20457.5293,-3.00949,0.86258,-0.20287
33.05557,-97.6017,20455.93555,-2.44699,0.86258,-0.20263
33.05559,-97.56965,20455.12305,-1.63449,0.80008,-0.12808
33.05561,-97.5376,20455.5293,-1.00949,0.67508,-0.09092
33.05562,-97.50556,20465.8418,-1.07199,0.61258,-0.16628
33.05561,-97.47351,20501.8418,-1.57199,0.67508,-0.12883
33.0556,-97.44146,20492.0918,-2.07199,0.98758,0.09671
33.05558,-97.40942,20474.9043,-2.63449,1.36258,0.02153
33.05555,-97.37737,20474.93555,-3.32199,1.55008,-0.24139
33.05551,-97.34532,20467.0293,-3.75949,1.36258,-0.20335
33.05546,-97.31327,20460.5918,-4.00949,1.11258,0.05889
33.0554,-97.28123,20460.68555,-4.32199,1.17508,-0.05348
33.05533,-97.24918,20460.68555,-4.57199,1.36258,-0.54025
33.05525,-97.21713,20462.0918,-4.50949,1.42508,-0.68881
33.05516,-97.18509,20464.7793,-4.32199,1.23758,-0.35208
33.05507,-97.15304,20460.49805,-4.25949,0.98758,0.24576
33.05496,-97.121,20462.3418,-4.50949,0.73758,0.54569
33.05485,-97.08895,20450.4043,-5.00949,0.42508,0.28365
33.05472,-97.0569,20444.56055,-5.57199,0.05008,-0.2778
33.05459,-97.02486,20441.6543,-5.94699,-0.32492,-0.76177
33.05445,-96.99281,20441.0293,-6.00949,-0.63742,-0.87054
33.05429,-96.96076,20444.6543,-5.75949,-0.69992,-0.71976
33.05413,-96.92872,20449.3418,-4.82199,-0.57492,-0.42223
33.0824,-97.63379,20459.43555,-2.94699,0.42508,-0.27706
33.08243,-97.60173,20460.3418,-2.44699,0.67508,-0.23961
33.08245,-97.56967,20458.37305,-1.69699,0.67508,-0.16515
33.08247,-97.53762,20453.9043,-1.07199,0.42508,-0.20281
33.08248,-97.50556,20459.9043,-0.94699,0.11258,-0.35312
33.08247,-97.4735,20484.2793,-1.13449,0.17508,-0.31632
33.08246,-97.44144,20493.5293,-1.50949,0.48758,-0.20407
33.08244,-97.40938,20477.5293,-2.25949,0.86258,-0.24196
33.08241,-97.37733,20476.7168,-3.25949,1.23758,-0.39242
33.08237,-97.34527,20469.5918,-4.00949,1.36258,-0.3165
33.08232,-97.31321,20463.99805,-4.25949,1.36258,-0.09106
33.08226,-97.28115,20465.8418,-4.32199,1.55008,-0.24118
33.08219,-97.24909,20465.2168,-4.50949,1.67508,-0.57821
33.08211,-97.21704,20462.49805,-4.63449,1.61258,-0.57718
33.08203,-97.18498,20464.12305,-4.50949,1.30008,-0.05334
33.08193,-97.15292,20467.4043,-4.50949,0.92508,0.47024
33.08182,-97.12086,20473.37305,-4.82199,0.61258,0.50839
33.08171,-97.08881,20454.4043,-5.38449,0.23758,0.02144
33.08158,-97.05675,20443.62305,-5.94699,-0.01242,-0.61369
33.08145,-97.02469,20442.93555,-6.25949,-0.19992,-0.94598
33.08131,-96.99263,20442.3418,-6.13449,-0.26242,-0.905
33.08115,-96.96058,20444.4668,-5.44699,-0.19992,-0.68006
33.08099,-96.92852,20453.24805,-4.19699,0.11258,-0.2367
33.10926,-97.63384,20471.9043,-2.94699,0.73758,-0.20221
33.10929,-97.60177,20466.49805,-2.38449,0.92508,-0.16491
33.10932,-97.5697,20460.9043,-1.82199,0.86258,-0.165
33.10933,-97.53763,20457.12305,-1.32199,0.55008,-0.23976
33.10934,-97.50556,20458.5293,-1.00949,0.11258,-0.35219
33.10934,-97.47349,20465.7168,-0.88449,-0.19992,-0.39046
33.10932,-97.44142,20480.0918,-1.13449,-0.19992,-0.39162
33.1093,-97.40935,20477.62305,-1.82199,-0.01242,-0.46769
33.10927,-97.37728,20475.6543,-2.88449,0.30008,-0.54312
33.10923,-97.34521,20471.4668,-3.69699,0.80008,-0.35448
33.10918,-97.31314,20468.37305,-4.07199,1.23758,-0.09124
33.10912,-97.28108,20466.9043,-4.32199,1.61258,-0.16647
33.10905,-97.24901,20465.12305,-4.63449,1.86258,-0.27903
33.10897,-97.21694,20464.31055,-4.88449,1.86258,-0.05353
33.10889,-97.18487,20463.9043,-4.94699,1.61258,0.35846
33.10879,-97.1528,20465.0293,-5.00949,1.17508,0.50824
33.10868,-97.12073,20464.81055,-5.25949,0.73758,0.13378
33.10857,-97.08866,20450.7168,-5.69699,0.36258,-0.53945
33.10844,-97.05659,20443.9043,-6.13449,0.23758,-0.98523
33.10831,-97.02453,20443.62305,-6.25949,0.36258,-1.01826
33.10817,-96.99246,20443.43555,-5.94699,0.61258,-0.79243
33.10801,-96.96039,20445.43555,-5.07199,0.86258,-0.45794
33.10785,-96.92832,20448.3418,-3.75949,1.05008,-0.01572
33.13612,-97.63388,20480.24805,-2.94699,1.23758,0.02134
33.13615,-97.6018,20468.87305,-2.50949,1.30008,-0.01592
33.13618,-97.56972,20461.87305,-2.07199,1.11258,-0.16496
33.13619,-97.53764,20459.68555,-1.69699,0.67508,-0.31408
33.1362,-97.50556,20460.4043,-1.38449,0.11258,-0.35156
33.1362,-97.47348,20463.0293,-1.07199,-0.38742,-0.35219
33.13619,-97.4414,20465.18555,-1.00949,-0.76242,-0.39046
33.13616,-97.40932,20472.8418,-1.50949,-0.82492,-0.42892
33.13613,-97.37724,20471.81055,-2.32199,-0.57492,-0.39185
33.13609,-97.34516,20471.5293,-3.00949,-0.07492,-0.20401
33.13604,-97.31308,20470.99805,-3.44699,0.61258,-0.01608
33.13598,-97.281,20469.87305,-3.94699,1.11258,-0.0161
33.13591,-97.24892,20468.87305,-4.50949,1.48758,0.02158
33.13584,-97.21684,20467.49805,-5.13449,1.73758,0.13441
33.13575,-97.18476,20466.93555,-5.44699,1.61258,0.13418
33.13565,-97.15268,20463.56055,-5.57199,1.30008,-0.05351
33.13555,-97.1206,20457.37305,-5.69699,0.92508,-0.50236
33.13543,-97.08852,20451.1543,-5.88449,0.80008,-0.91147
33.13531,-97.05644,20447.9043,-6.00949,0.92508,-1.09479
33.13517,-97.02436,20446.8418,-6.00949,1.36258,-0.98026
33.13503,-96.99228,20447.4043,-5.63449,1.73758,-0.64431
33.13488,-96.9602,20449.7168,-4.88449,1.86258,-0.27386
33.13471,-96.92812,20452.62305,-3.69699,1.73758,0.0579
33.16298,-97.63393,20482.2793,-2.94699,1.23758,0.13339
33.16302,-97.60184,20470.5293,-2.82199,1.23758,0.096
33.16304,-97.56975,20462.1543,-2.57199,1.11258,-0.165
33.16306,-97.53766,20462.3418,-2.25949,0.73758,-0.38828
33.16306,-97.50556,20462.68555,-1.94699,0.23758,-0.42539
33.16306,-97.47347,20463.56055,-1.57199,-0.26242,-0.3139
33.16305,-97.44138,20463.43555,-1.25949,-0.82492,-0.23983
33.16303,-97.40929,20464.5293,-1.44699,-1.07492,-0.2404
