latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,9339.51367,16.13648,12.03554,-0.72783
32.76018,-97.60131,9339.82617,15.76148,10.16054,-0.25822
32.76021,-97.56938,9337.73242,15.44898,8.34804,-0.28625
32.76022,-97.53746,9336.29492,15.01148,9.84804,-0.11596
32.76023,-97.50554,9332.51367,15.13648,14.84804,0.36718
32.76023,-97.47361,9334.48242,15.88648,18.91054,0.474
32.76021,-97.44169,9334.60742,16.69898,20.47304,0.16114
32.76019,-97.40976,9334.35742,16.51148,19.97304,-0.1091
32.76016,-97.37784,9337.10742,15.26148,17.53554,-0.16605
32.76012,-97.34591,9340.54492,14.32398,14.84804,-0.27984
32.76007,-97.31399,9346.70117,14.94898,12.59804,0.60953
32.76001,-97.28206,9352.10742,15.13648,12.72304,-1.89425
32.75994,-97.25014,9354.26367,15.76148,12.78554,-3.79364
32.75987,-97.21821,9349.66992,16.94898,12.59804,3.64113
32.75978,-97.18629,9345.41992,15.26148,13.53554,8.19584
32.75968,-97.15437,9343.07617,13.69898,14.41054,8.02753
32.75958,-97.12244,9344.98242,14.94898,17.09804,7.74792
32.75946,-97.09052,9341.54492,19.01148,18.72304,5.25761
32.75934,-97.05859,9337.29492,22.69898,18.34804,0.71188
32.75921,-97.02667,9336.35742,21.44898,17.47304,-1.25691
32.75906,-96.99475,9335.66992,18.57398,16.34804,-1.28363
32.75891,-96.96282,9339.66992,18.44898,16.22304,-0.82028
32.75875,-96.9309,9343.45117,19.63648,17.91054,-0.37194
32.75858,-96.89897,9346.54492,20.01148,20.03554,-0.1588
32.787,-97.63328,9345.41992,16.38648,12.41054,-0.00951
32.78703,-97.60134,9338.26367,15.26148,9.22304,-0.45032
32.78705,-97.56941,9336.95117,13.82398,6.78554,-0.87592
32.78707,-97.53747,9331.48242,13.32398,7.03554,-0.39254
32.78708,-97.50554,9331.91992,14.26148,12.09804,-0.16565
32.78707,-97.4736,9336.13867,15.88648,16.66054,-0.86936
32.78706,-97.44167,9335.88867,17.88648,17.91054,-1.31761
32.78704,-97.40973,9338.26367,19.01148,18.28554,-0.90568
32.78701,-97.37779,9339.23242,18.26148,17.91054,-0.23718
32.78697,-97.34586,9342.01367,16.63648,16.72304,0.36038
32.78692,-97.31392,9348.48242,16.01148,14.72304,1.16438
32.78686,-97.28199,9355.29492,14.88648,12.97304,-1.21858
32.78679,-97.25005,9364.07617,14.07398,13.28554,-0.93342
32.78671,-97.21812,9367.13867,15.19898,15.09804,7.78974
32.78663,-97.18618,9360.70117,15.94898,15.09804,11.72815
32.78653,-97.15425,9353.79492,17.94898,14.16054,9.20038
32.78642,-97.12231,9348.32617,22.19898,15.72304,5.31234
32.78631,-97.09037,9338.57617,26.63648,18.84804,2.79687
32.78619,-97.05844,9332.79492,27.94898,20.97304,1.36013
32.78605,-97.0265,9328.32617,23.51148,21.22304,1.10029
32.78591,-96.99457,9328.73242,17.57398,19.16054,1.17101
32.78576,-96.96264,9335.20117,16.01148,16.34804,0.17543
32.7856,-96.9307,9339.35742,18.32398,16.28554,-0.61402
32.78543,-96.89877,9339.73242,20.38648,19.03554,-0.56396
32.81384,-97.63333,9331.63867,15.26148,11.72304,-0.15176
32.81388,-97.60138,9332.98242,13.76148,7.09804,-1.49637
32.8139,-97.56943,9329.23242,12.38648,5.34804,-1.98571
32.81392,-97.53749,9329.20117,12.38648,5.47304,-1.22997
32.81392,-97.50554,9334.10742,13.94898,9.47304,-0.89593
32.81392,-97.47359,9333.41992,16.51148,14.22304,-0.69029
32.81391,-97.44165,9335.32617,19.76148,14.97304,-2.12501
32.81389,-97.4097,9339.26367,21.26148,15.78554,-2.56163
32.81386,-97.37775,9340.16992,19.82398,17.47304,-1.14059
32.81382,-97.3458,9343.23242,17.51148,18.28554,0.67341
32.81377,-97.31386,9347.66992,16.57398,17.09804,1.38515
32.81371,-97.28191,9355.70117,15.88648,14.53554,-0.22293
32.81364,-97.24996,9362.20117,14.44898,15.34804,0.63749
32.81356,-97.21802,9372.04492,14.69898,18.84804,4.50227
32.81348,-97.18607,9370.70117,17.94898,20.09804,4.94039
32.81338,-97.15413,9360.04492,22.38648,20.03554,4.12209
32.81327,-97.12218,9349.63867,26.82398,20.09804,2.93496
32.81316,-97.09023,9336.95117,30.19898,21.16054,0.77468
32.81303,-97.05829,9330.63867,29.82398,23.72304,0.01182
32.8129,-97.02634,9329.29492,23.69898,25.28554,1.41135
32.81276,-96.99439,9328.63867,16.19898,21.59804,3.43793
32.81261,-96.96245,9331.51367,14.13648,15.84804,2.23938
32.81244,-96.9305,9335.29492,17.26148,13.97304,-0.40816
32.81227,-96.89856,9335.32617,20.44898,17.41054,-0.99095
32.84069,-97.63337,9328.91992,12.69898,11.53554,-0.94748
32.84073,-97.60141,9326.29492,11.32398,5.72304,-2.41912
32.84075,-97.56946,9328.73242,11.63648,4.72304,-2.24877
32.84077,-97.5375,9334.38867,12.63648,6.28554,-1.26676
32.84077,-97.50554,9336.41992,13.51148,9.34804,-0.20797
32.84077,-97.47358,9340.04492,16.26148,14.91054,3.20799
32.84076,-97.44163,9338.16992,21.76148,15.59804,1.60861
32.84074,-97.40967,9337.23242,23.82398,15.34804,-2.25378
32.84071,-97.37771,9339.57617,20.63648,17.34804,-1.98728
32.84067,-97.34575,9342.23242,17.13648,19.41054,0.41753
32.84062,-97.31379,9344.57617,16.13648,19.03554,1.37789
32.84056,-97.28184,9349.07617,16.63648,16.72304,0.59521
32.84049,-97.24988,9354.01367,15.57398,17.59804,0.50961
32.84041,-97.21792,9359.48242,15.13648,21.34804,-0.8205
32.84032,-97.18596,9359.29492,18.19898,23.03554,-1.17716
32.84023,-97.15401,9355.88867,22.01148,23.97304,0.98679
32.84012,-97.12205,9350.20117,24.63648,24.47304,1.49709
32.84001,-97.09009,9339.41992,26.13648,24.66054,-1.71971
32.83988,-97.05813,9335.66992,24.26148,27.28554,-2.05908
32.83975,-97.02618,9333.79492,18.63648,27.78554,2.14983
32.83961,-96.99422,9327.85742,14.01148,20.72304,6.04592
32.83946,-96.96226,9326.35742,14.94898,13.47304,3.9645
32.83929,-96.93031,9331.79492,19.13648,11.78554,-0.51524
32.83912,-96.89835,9335.13867,21.69898,16.03554,-1.50355
32.86754,-97.63342,9329.13867,10.94898,13.59804,-0.98203
32.86758,-97.60145,9327.51367,10.63648,7.41054,-0.94021
32.8676,-97.56948,9331.51367,12.57398,6.34804,-0.69187
32.86762,-97.53751,9335.01367,13.88648,8.66054,-0.25814
32.86763,-97.50554,9339.63867,14.26148,11.34804,0.98999
32.86762,-97.47357,9353.45117,17.01148,16.72304,4.49483
32.86761,-97.4416,9350.73242,22.76148,17.91054,3.71298
32.86759,-97.40964,9341.45117,24.88648,16.78554,-0.39983
32.86756,-97.37767,9338.35742,21.51148,17.97304,-1.38182
32.86752,-97.3457,9340.29492,17.63648,19.97304,0.23249
32.86747,-97.31373,9341.26367,16.13648,20.28554,1.37121
32.86741,-97.28176,9345.60742,16.51148,19.22304,1.34273
32.86734,-97.24979,9352.26367,15.63648,20.22304,0.53107
32.86726,-97.21782,9356.07617,15.01148,21.72304,-2.89729
32.86718,-97.18585,9351.01367,17.32398,20.91054,-1.03344
32.86708,-97.15389,9350.20117,19.51148,22.78554,2.9075
32.86697,-97.12192,9345.85742,19.76148,25.78554,2.00348
32.86686,-97.08995,9340.54492,18.32398,26.84804,-1.35678
32.86673,-97.05798,9336.35742,15.76148,27.97304,0.55172
32.8666,-97.02601,9328.79492,14.26148,24.66054,6.54525
32.86646,-96.99404,9322.29492,15.63648,15.91054,8.58576
32.86631,-96.96208,9322.91992,19.19898,10.66054,3.40515
32.86614,-96.93011,9331.32617,22.82398,11.28554,-1.44783
32.86597,-96.89814,9337.26367,23.69898,15.91054,-1.68118
32.8944,-97.63347,9321.91992,11.07398,15.34804,1.2887
32.89443,-97.60149,9330.10742,12.32398,10.22304,1.69547
32.89446,-97.56951,9331.45117,14.94898,9.41054,0.6442
32.89447,-97.53752,9332.13867,15.76148,11.28554,0.3101
32.89448,-97.50554,9335.23242,15.51148,13.16054,0.9053
32.89447,-97.47356,9344.13867,17.38648,16.41054,2.54744
32.89446,-97.44158,9345.35742,21.38648,18.34804,2.24265
32.89444,-97.4096,9340.38867,23.32398,18.84804,0.06854
32.89441,-97.37762,9338.20117,21.82398,19.78554,-0.37183
32.89437,-97.34564,9340.70117,19.57398,20.97304,0.23936
32.89432,-97.31366,9344.98242,17.76148,21.03554,0.42466
32.89426,-97.28168,9350.20117,16.07398,21.28554,0.62395
32.89419,-97.2497,9354.85742,14.19898,22.72304,0.60941
32.89411,-97.21772,9357.82617,12.57398,21.34804,-2.72807
32.89403,-97.18574,9351.48242,14.44898,18.97304,0.97996
32.89393,-97.15376,9351.73242,17.88648,21.34804,7.89874
32.89383,-97.12179,9344.51367,17.82398,24.47304,6.95923
32.89371,-97.08981,9337.16992,15.57398,24.47304,5.33641
32.89359,-97.05783,9331.13867,14.63648,22.66054,7.85672
32.89345,-97.02585,9323.29492,16.82398,17.41054,9.97286
32.89331,-96.99387,9322.51367,20.19898,11.78554,5.93031
32.89316,-96.96189,9327.63867,22.69898,10.53554,-0.13783
32.893,-96.92991,9335.16992,24.44898,12.53554,-2.03088
32.92125,-97.63351,9330.16992,12.32398,14.78554,3.41411
32.92128,-97.60152,9331.85742,14.69898,12.22304,2.12291
32.92131,-97.56953,9328.20117,16.88648,12.28554,0.39562
32.92133,-97.53754,9326.66992,17.19898,12.91054,0.0118
32.92133,-97.50555,9328.54492,17.07398,13.28554,-0.08041
32.92133,-97.47356,9333.82617,18.32398,15.22304,0.21032
32.92132,-97.44156,9337.79492,20.32398,18.28554,0.12528
