latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,12776.14844,20.23495,30.13169,0.66407
32.76018,-97.60131,12773.89844,20.04745,30.38169,0.45032
32.76021,-97.56938,12769.05469,19.10995,29.94419,0.17378
32.76022,-97.53746,12767.89844,17.10995,29.25669,0.00351
32.76023,-97.50554,12766.39844,15.48495,28.44419,0.02468
32.76023,-97.47361,12771.27344,15.48495,28.19419,0.13012
32.76021,-97.44169,12773.39844,16.04745,28.63169,0.14068
32.76019,-97.40976,12774.61719,15.42245,29.06919,0.05633
32.76016,-97.37784,12777.71094,13.92245,29.50669,0.07743
32.76012,-97.34591,12781.05469,13.48495,30.25669,0.17229
32.76007,-97.31399,12787.24219,14.98495,30.31919,0.14051
32.76001,-97.28206,12790.96094,18.60995,29.13169,-0.1123
32.75994,-97.25014,12793.55469,20.85995,29.94419,-0.93606
32.75987,-97.21821,12804.92969,13.67245,25.88169,-1.44536
32.75978,-97.18629,12822.11719,8.42245,18.69419,2.03662
32.75968,-97.15437,12824.61719,15.60995,17.19419,3.66912
32.75958,-97.12244,12815.80469,24.10995,13.06919,1.60022
32.75946,-97.09052,12802.05469,26.54745,11.75669,0.129
32.75934,-97.05859,12794.49219,23.67245,15.44419,0.47668
32.75921,-97.02667,12792.49219,19.79745,17.94419,0.90864
32.75906,-96.99475,12786.83594,17.92245,19.44419,0.46728
32.75891,-96.96282,12786.05469,15.98495,23.56919,-0.15501
32.75875,-96.9309,12788.36719,12.17245,28.00669,-0.31266
32.75858,-96.89897,12790.21094,9.67245,30.50669,0.15064
32.787,-97.63328,12782.42969,21.92245,28.63169,0.54897
32.78703,-97.60134,12773.39844,21.48495,29.94419,0.65515
32.78705,-97.56941,12770.80469,20.92245,30.00669,0.43069
32.78707,-97.53747,12766.92969,19.42245,29.38169,0.1529
32.78708,-97.50554,12769.74219,17.85995,29.13169,0.01414
32.78707,-97.4736,12776.17969,17.35995,29.56919,-0.04948
32.78706,-97.44167,12776.67969,17.29745,30.31919,-0.0706
32.78704,-97.40973,12778.42969,16.42245,30.69419,-0.03887
32.78701,-97.37779,12779.08594,14.92245,30.00669,0.00349
32.78697,-97.34586,12782.08594,14.17245,28.50669,0.14068
32.78692,-97.31392,12786.77344,15.10995,26.69419,0.19299
32.78686,-97.28199,12792.89844,17.48495,25.63169,-0.01757
32.78679,-97.25005,12803.27344,16.42245,27.13169,-0.44108
32.78671,-97.21812,12820.36719,10.17245,23.50669,-0.21801
32.78663,-97.18618,12827.99219,8.60995,21.31919,0.99555
32.78653,-97.15425,12822.55469,13.04745,18.31919,1.07843
32.78642,-97.12231,12816.24219,16.79745,11.63169,1.69539
32.78631,-97.09037,12805.46094,20.23495,10.56919,1.88809
32.78619,-97.05844,12796.74219,23.23495,13.56919,1.31239
32.78605,-97.0265,12793.27344,23.67245,15.00669,0.72799
32.78591,-96.99457,12790.71094,21.60995,16.44419,0.32199
32.78576,-96.96264,12787.64844,18.92245,20.19419,0.07756
32.7856,-96.9307,12785.42969,15.85995,25.56919,-0.26067
32.78543,-96.89877,12784.74219,12.54745,30.19419,-0.29141
32.81384,-97.63333,12770.42969,22.48495,25.75669,0.11045
32.81388,-97.60138,12772.77344,22.04745,27.56919,0.39924
32.8139,-97.56943,12770.17969,21.67245,28.06919,0.46341
32.81392,-97.53749,12769.96094,21.10995,27.88169,0.31341
32.81392,-97.50554,12774.24219,20.29745,28.13169,0.0355
32.81392,-97.47359,12775.24219,19.60995,29.00669,-0.14543
32.81391,-97.44165,12776.64844,19.04745,30.19419,-0.15593
32.81389,-97.4097,12779.64844,18.04745,31.13169,-0.0815
32.81386,-97.37775,12780.86719,16.35995,30.63169,-0.02836
32.81382,-97.3458,12782.17969,14.98495,28.38169,0.08815
32.81377,-97.31386,12785.58594,15.17245,25.19419,0.18273
32.81371,-97.28191,12792.71094,16.35995,23.88169,0.17218
32.81364,-97.24996,12800.17969,14.73495,25.19419,-0.0071
32.81356,-97.21802,12813.27344,11.35995,23.25669,0.10898
32.81348,-97.18607,12817.64844,10.73495,22.19419,0.28645
32.81338,-97.15413,12816.99219,11.35995,17.38169,1.21348
32.81327,-97.12218,12815.89844,12.54745,9.81919,2.21354
32.81316,-97.09023,12807.17969,15.60995,8.00669,0.79466
32.81303,-97.05829,12794.39844,19.67245,8.44419,-1.35695
32.8129,-97.02634,12788.30469,24.85995,8.31919,-1.69521
32.81276,-96.99439,12788.99219,28.48495,10.25669,-1.04049
32.81261,-96.96245,12789.02344,26.35995,16.13169,-0.4209
32.81244,-96.9305,12783.77344,21.29745,21.94419,-0.13403
32.81227,-96.89856,12780.42969,17.23495,27.25669,-0.32397
32.84069,-97.63337,12770.83594,21.23495,24.38169,-0.09218
32.84073,-97.60141,12769.71094,21.35995,25.00669,0.06746
32.84075,-97.56946,12770.67969,21.17245,25.25669,0.25952
32.84077,-97.5375,12774.36719,20.79745,25.69419,0.39784
32.84077,-97.50554,12775.71094,20.48495,26.44419,0.22692
32.84077,-97.47358,12779.33594,20.29745,27.25669,0.05667
32.84076,-97.44163,12777.11719,20.17245,28.38169,0.04605
32.84074,-97.40967,12778.24219,19.54745,29.69419,0.09934
32.84071,-97.37771,12780.17969,17.92245,29.94419,0.03545
32.84067,-97.34575,12781.42969,15.98495,28.19419,0.01411
32.84062,-97.31379,12782.80469,15.29745,24.88169,0.16193
32.84056,-97.28184,12787.08594,16.10995,23.25669,0.27787
32.84049,-97.24988,12792.11719,15.73495,24.13169,0.18344
32.84041,-97.21792,12796.80469,15.10995,23.38169,0.3418
32.84032,-97.18596,12804.92969,15.04745,23.13169,0.64783
32.84023,-97.15401,12810.67969,12.54745,19.00669,0.73624
32.84012,-97.12205,12812.55469,10.92245,9.06919,-0.46618
32.84001,-97.09009,12804.05469,11.79745,5.00669,-3.23905
32.83988,-97.05813,12791.74219,12.23495,7.63169,-3.60194
32.83975,-97.02618,12788.02344,17.67245,10.38169,0.37308
32.83961,-96.99422,12787.71094,28.92245,11.19419,1.58876
32.83946,-96.96226,12786.61719,33.60995,15.81919,-0.25104
32.83929,-96.93031,12782.89844,28.04745,20.31919,-0.51578
32.83912,-96.89835,12779.58594,21.92245,23.63169,-0.22917
32.86754,-97.63342,12770.89844,19.85995,25.25669,0.0035
32.86758,-97.60145,12767.14844,19.79745,23.69419,0.05655
32.8676,-97.56948,12771.02344,19.73495,23.63169,0.33251
32.86762,-97.53751,12775.42969,19.67245,25.00669,0.63973
32.86763,-97.50554,12779.52344,19.73495,26.25669,0.55441
32.86762,-97.47357,12790.52344,19.92245,26.75669,0.45906
32.86761,-97.4416,12786.58594,20.10995,27.13169,0.47021
32.86759,-97.40964,12781.24219,19.92245,28.13169,0.54559
32.86756,-97.37767,12779.49219,18.42245,29.06919,0.45019
32.86752,-97.3457,12780.83594,16.04745,28.44419,0.25807
32.86747,-97.31373,12780.17969,14.85995,25.81919,0.30981
32.86741,-97.28176,12783.92969,15.67245,23.88169,0.45729
32.86734,-97.24979,12790.08594,16.67245,23.75669,0.42651
32.86726,-97.21782,12794.36719,18.67245,23.19419,0.52231
32.86718,-97.18585,12802.64844,18.29745,23.06919,0.46069
32.86708,-97.15389,12808.46094,10.48495,21.25669,-0.7974
32.86697,-97.12192,12807.36719,8.35995,10.88169,-0.96404
32.86686,-97.08995,12805.55469,13.42245,6.81919,-0.54736
32.86673,-97.05798,12800.24219,14.54745,12.00669,2.50302
32.8666,-97.02601,12795.99219,18.79745,17.13169,7.24518
32.86646,-96.99404,12790.42969,30.42245,18.75669,4.62629
32.86631,-96.96208,12784.05469,36.98495,20.19419,-0.4414
32.86614,-96.93011,12782.02344,31.92245,21.13169,-1.01416
32.86597,-96.89814,12780.27344,24.92245,21.63169,-0.11278
32.8944,-97.63347,12763.08594,20.10995,24.81919,-0.34725
32.89443,-97.60149,12769.42969,18.73495,23.06919,0.09887
32.89446,-97.56951,12772.08594,18.79745,23.50669,0.61687
32.89447,-97.53752,12774.24219,19.54745,25.81919,0.79619
32.89448,-97.50554,12777.77344,19.98495,27.56919,0.71163
32.89447,-97.47356,12784.21094,20.17245,27.94419,0.73321
32.89446,-97.44158,12785.42969,20.48495,27.44419,0.70231
32.89444,-97.4096,12781.77344,20.79745,27.31919,0.53432
32.89441,-97.37762,12781.58594,20.10995,28.38169,0.42905
32.89437,-97.34564,12783.77344,18.17245,29.56919,0.48181
32.89432,-97.31366,12785.99219,16.42245,28.63169,0.64956
32.89426,-97.28168,12790.14844,16.35995,26.44419,0.72241
32.89419,-97.2497,12793.58594,17.35995,24.69419,0.61706
32.89411,-97.21772,12798.46094,19.54745,23.13169,0.57576
32.89403,-97.18574,12801.74219,17.17245,22.00669,0.13129
32.89393,-97.15376,12812.89844,6.73495,23.63169,-1.41428
32.89383,-97.12179,12818.71094,6.60995,19.63169,1.63066
32.89371,-97.08981,12821.39844,16.42245,16.81919,6.25844
32.89359,-97.05783,12815.49219,21.67245,19.38169,9.36273
32.89345,-97.02585,12802.64844,27.67245,23.63169,8.23234
32.89331,-96.99387,12789.05469,35.10995,25.88169,2.00968
32.89316,-96.96189,12780.89844,36.73495,24.31919,-1.43423
32.893,-96.92991,12780.83594,31.42245,21.94419,-0.75795
32.92125,-97.63351,12767.92969,21.23495,22.31919,-0.50637
32.92128,-97.60152,12770.64844,19.42245,22.44419,0.15182
32.92131,-97.56953,12769.83594,19.35995,23.88169,0.73211
32.92133,-97.53754,12770.42969,20.54745,26.50669,0.61577
32.92133,-97.50555,12773.86719,21.23495,28.75669,0.44727
32.92133,-97.47356,12777.89844,21.10995,29.56919,0.5744
32.92132,-97.44156,12782.49219,20.67245,28.75669,0.57508
32.92129,-97.40957,12781.27344,20.35995,26.81919,0.45933
32.92126,-97.37758,12781.58594,20.67245,26.31919,0.16289
32.92122,-97.34559,12784.39844,20.60995,28.25669,0.11002
32.92117,-97.3136,12786.61719,19.60995,29.50669,0.38684
32.92111,-97.28161,12788.55469,18.48495,28.13169,0.6308
32.92105,-97.24962,12790.17969,18.10995,25.75669,0.60846
32.92097,-97.21763,12794.96094,18.35995,23.56919,0.43852
32.92088,-97.18564,12803.89844,14.92245,21.75669,0.25837
32.92078,-97.15364,12818.92969,7.42245,25.13169,-0.66335
32.92068,-97.12165,12821.05469,7.67245,28.63169,1.07624
32.92056,-97.08966,12818.61719,16.79745,28.38169,4.51333
32.92044,-97.05767,12808.11719,25.54745,28.75669,5.16485
32.92031,-97.02568,12791.80469,31.85995,30.00669,1.81861
32.92016,-96.99369,12781.21094,34.42245,28.81919,-1.13513
32.92001,-96.9617,12778.92969,32.35995,24.75669,-1.10396
32.91985,-96.92971,12779.33594,28.67245,21.81919,-0.10208
32.9481,-97.63356,12770.05469,22.35995,21.25669,-0.39883
32.94814,-97.60156,12767.36719,21.35995,22.38169,0.21519
32.94816,-97.56955,12766.08594,21.29745,24.13169,0.56316
32.94818,-97.53755,12764.86719,22.48495,26.56919,0.19373
32.94819,-97.50555,12768.89844,23.04745,29.00669,0.0882
32.94818,-97.47355,12777.58594,22.23495,30.81919,0.34262
32.94817,-97.44154,12784.80469,20.10995,31.25669,0.49069
32.94815,-97.40954,12786.33594,17.60995,29.56919,0.81829
32.94812,-97.37754,12785.02344,17.23495,26.63169,1.05109
32.94808,-97.34554,12784.42969,18.79745,25.44419,0.15204
32.94803,-97.31353,12779.21094,19.60995,25.75669,-0.46485
32.94797,-97.28153,12785.05469,18.98495,25.63169,-0.27357
32.9479,-97.24953,12788.36719,17.98495,24.75669,0.15245
32.94782,-97.21753,12789.86719,17.17245,23.69419,0.31156
32.94774,-97.18553,12797.05469,15.35995,22.56919,0.34262
32.94764,-97.15352,12805.99219,12.85995,24.63169,0.21442
32.94753,-97.12152,12804.17969,13.23495,29.19419,-0.01756
32.94742,-97.08952,12795.77344,17.92245,31.31919,0.11913
32.94729,-97.05752,12786.86719,23.98495,31.25669,-0.50199
32.94716,-97.02552,12782.46094,28.10995,29.69419,-1.30276
32.94702,-96.99352,12779.14844,29.04745,26.31919,-0.9341
32.94686,-96.96151,12777.27344,27.92245,23.06919,-0.15468
32.9467,-96.92951,12776.99219,26.54745,21.56919,0.22524
32.97496,-97.6336,12764.55469,22.92245,22.38169,-0.32385
