latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,18876.77734,-2.89802,5.9353,0.21509
32.76018,-97.60131,18875.15234,-2.14802,5.7478,-0.09799
32.76021,-97.56938,18870.77734,-1.14802,5.5603,-0.2971
32.76022,-97.53746,18869.24609,-0.21052,5.4353,-0.2405
32.76023,-97.50554,18866.87109,0.41448,5.3728,-0.06984
32.76023,-97.47361,18869.99609,0.66448,5.3728,0.04461
32.76021,-97.44169,18869.21484,0.41448,5.3728,-0.0416
32.76019,-97.40976,18866.65234,-0.14802,5.3728,-0.18586
32.76016,-97.37784,18865.40234,-0.83552,5.4353,-0.27261
32.76012,-97.34591,18865.37109,-1.64802,5.6228,-0.33034
32.76007,-97.31399,18870.49609,-2.46052,6.0603,-0.38783
32.76001,-97.28206,18875.87109,-3.02302,6.5603,-0.35835
32.75994,-97.25014,18879.49609,-3.39802,6.9978,-0.27148
32.75987,-97.21821,18885.43359,-3.46052,7.3103,-0.15618
32.75978,-97.18629,18893.18359,-3.33552,7.3728,-0.04138
32.75968,-97.15437,18893.49609,-3.08552,7.2478,0.04447
32.75958,-97.12244,18888.55859,-2.83552,6.9978,0.1016
32.75946,-97.09052,18880.37109,-2.58552,6.7478,0.10163
32.75934,-97.05859,18874.62109,-2.64802,6.6853,0.04447
32.75921,-97.02667,18873.12109,-2.71052,6.9978,-0.04135
32.75906,-96.99475,18868.68359,-2.96052,7.5603,-0.12716
32.75891,-96.96282,18867.37109,-3.39802,8.0603,-0.21266
32.75875,-96.9309,18869.58984,-3.64802,8.3728,-0.1836
32.75858,-96.89897,18872.90234,-3.58552,8.4353,-0.1547
32.787,-97.63328,18882.62109,-2.83552,5.6228,0.10142
32.78703,-97.60134,18872.90234,-2.33552,5.7478,-0.01267
32.78705,-97.56941,18870.62109,-1.39802,5.6228,-0.01266
32.78707,-97.53747,18866.77734,-0.33552,5.3103,0.04425
32.78708,-97.50554,18868.96484,0.41448,4.8728,0.04439
32.78707,-97.4736,18873.87109,0.53948,4.4353,-0.07007
32.78706,-97.44167,18871.27734,0.28948,4.1228,-0.30005
32.78704,-97.40973,18868.58984,-0.21052,4.0603,-0.44434
32.78701,-97.37779,18865.15234,-0.77302,4.1228,-0.50232
32.78697,-97.34586,18864.99609,-1.39802,4.3728,-0.47381
32.78692,-97.31392,18868.15234,-1.96052,4.7478,-0.38737
32.78686,-97.28199,18875.33984,-2.46052,5.2478,-0.30085
32.78679,-97.25005,18885.58984,-2.89802,5.8103,-0.24303
32.78671,-97.21812,18898.43359,-3.21052,6.2478,-0.21387
32.78663,-97.18618,18900.99609,-3.33552,6.4353,-0.15614
32.78653,-97.15425,18892.18359,-3.21052,6.4353,-0.15586
32.78642,-97.12231,18887.08984,-3.02302,6.1853,-0.12704
32.78631,-97.09037,18881.52734,-2.71052,5.8103,0.01585
32.78619,-97.05844,18875.12109,-2.39802,5.7478,-0.01272
32.78605,-97.0265,18872.18359,-2.14802,6.0603,-0.04136
32.78591,-96.99457,18870.58984,-2.27302,6.6853,-0.12739
32.78576,-96.96264,18868.33984,-2.71052,7.3103,-0.2133
32.7856,-96.9307,18866.99609,-3.27302,7.9353,-0.24144
32.78543,-96.89877,18867.80859,-3.52302,8.3103,-0.2693
32.81384,-97.63333,18871.08984,-2.33552,4.6853,-0.21241
32.81388,-97.60138,18870.43359,-2.14802,5.0603,-0.15521
32.8139,-97.56943,18866.52734,-1.52302,5.1853,-0.04117
32.81392,-97.53749,18866.15234,-0.71052,4.9353,-0.01268
32.81392,-97.50554,18870.80859,-0.02302,4.3728,-0.09832
32.81392,-97.47359,18871.08984,0.16448,3.8103,-0.27011
32.81391,-97.44165,18869.08984,0.03948,3.4353,-0.44249
32.81389,-97.4097,18867.40234,-0.33552,3.3728,-0.50024
32.81386,-97.37775,18865.30859,-0.64802,3.4353,-0.50083
32.81382,-97.3458,18864.18359,-1.08552,3.5603,-0.44394
32.81377,-97.31386,18865.80859,-1.52302,3.7478,-0.3868
32.81371,-97.28191,18872.24609,-1.89802,4.0603,-0.35835
32.81364,-97.24996,18878.74609,-2.33552,4.6228,-0.38703
32.81356,-97.21802,18889.52734,-2.77302,5.1853,-0.44394
32.81348,-97.18607,18890.58984,-3.14802,5.5603,-0.38542
32.81338,-97.15413,18888.40234,-3.27302,5.6853,-0.29862
32.81327,-97.12218,18888.83984,-3.21052,5.5603,-0.18377
32.81316,-97.09023,18884.62109,-2.64802,5.3103,0.0158
32.81303,-97.05829,18879.83984,-1.89802,5.3728,0.12979
32.8129,-97.02634,18876.40234,-1.33552,5.5603,0.15867
32.81276,-96.99439,18875.12109,-1.33552,5.9978,0.0159
32.81261,-96.96245,18872.40234,-1.89802,6.5603,-0.18487
32.81244,-96.9305,18866.27734,-2.64802,7.2478,-0.29933
32.81227,-96.89856,18863.99609,-3.14802,7.8728,-0.29862
32.84069,-97.63337,18873.43359,-2.02302,4.0603,-0.411
32.84073,-97.60141,18867.12109,-1.77302,4.1228,-0.35431
32.84075,-97.56946,18863.96484,-1.46052,4.2478,-0.26906
32.84077,-97.5375,18866.18359,-0.89802,4.2478,-0.24072
32.84077,-97.50554,18867.83984,-0.39802,3.9978,-0.29782
32.84077,-97.47358,18870.43359,-0.21052,3.6228,-0.41211
32.84076,-97.44163,18864.65234,-0.14802,3.2478,-0.55543
32.84074,-97.40967,18861.80859,-0.21052,2.9978,-0.58504
32.84071,-97.37771,18861.30859,-0.52302,2.8103,-0.58591
32.84067,-97.34575,18860.71484,-0.96052,2.7478,-0.52907
32.84062,-97.31379,18860.05859,-1.27302,2.8103,-0.50083
32.84056,-97.28184,18862.77734,-1.46052,3.0603,-0.55891
32.84049,-97.24988,18867.08984,-1.71052,3.5603,-0.6164
32.84041,-97.21792,18870.24609,-2.14802,4.2478,-0.64457
32.84032,-97.18596,18876.62109,-2.71052,4.9353,-0.49979
32.84023,-97.15401,18885.46484,-3.14802,5.3728,-0.35559
32.84012,-97.12205,18891.24609,-3.14802,5.6853,-0.06963
32.84001,-97.09009,18895.49609,-2.39802,5.8728,0.49919
32.83988,-97.05813,18892.08984,-1.33552,5.9353,0.55656
32.83975,-97.02618,18883.02734,-0.64802,5.8728,0.47231
32.83961,-96.99422,18879.02734,-0.58552,5.8728,0.27358
32.83946,-96.96226,18874.58984,-1.14802,6.0603,-0.09885
32.83929,-96.93031,18867.15234,-1.96052,6.5603,-0.2996
32.83912,-96.89835,18863.49609,-2.58552,7.1853,-0.27043
32.86754,-97.63342,18876.71484,-2.21052,4.3728,-0.21145
32.86758,-97.60145,18866.30859,-1.83552,3.9978,-0.26842
32.8676,-97.56948,18864.15234,-1.39802,3.7478,-0.29701
32.86762,-97.53751,18865.46484,-0.77302,3.6853,-0.41113
32.86763,-97.50554,18868.40234,-0.39802,3.8103,-0.46861
32.86762,-97.47357,18877.24609,-0.33552,3.8103,-0.44025
32.86761,-97.4416,18869.68359,-0.33552,3.4353,-0.46889
32.86759,-97.40964,18860.65234,-0.46052,2.7478,-0.61237
32.86756,-97.37767,18856.52734,-0.64802,2.1228,-0.67008
32.86752,-97.3457,18857.15234,-0.89802,1.8728,-0.64188
32.86747,-97.31373,18855.90234,-0.96052,1.9978,-0.55659
32.86741,-97.28176,18858.05859,-0.89802,2.4353,-0.49979
32.86734,-97.24979,18863.65234,-1.02302,2.9978,-0.50024
32.86726,-97.21782,18866.62109,-1.39802,3.7478,-0.58626
32.86718,-97.18585,18874.40234,-2.02302,4.4978,-0.55709
32.86708,-97.15389,18881.68359,-2.64802,5.3728,-0.64188
32.86697,-97.12192,18884.08984,-2.77302,6.1853,-0.29782
32.86686,-97.08995,18890.12109,-2.14802,6.7478,0.15819
32.86673,-97.05798,18883.49609,-1.14802,6.7478,0.24378
32.8666,-97.02601,18879.58984,-0.39802,6.3728,0.47273
32.86646,-96.99404,18881.74609,-0.27302,5.8728,0.35958
32.86631,-96.96208,18874.87109,-0.83552,5.5603,-0.1275
32.86614,-96.93011,18867.15234,-1.46052,5.8728,-0.29942
32.86597,-96.89814,18863.99609,-2.02302,6.4353,-0.24187
32.8944,-97.63347,18875.12109,-2.64802,4.9353,0.27162
32.89443,-97.60149,18873.18359,-2.14802,4.4978,0.12944
