latitude,longitude,gh[gpm]_lev1,gh[gpm]_lev2,gh[gpm]_lev3,gh[gpm]_lev4,gh[gpm]_lev5,gh[gpm]_lev6,gh[gpm]_lev7,gh[gpm]_lev8,gh[gpm]_lev9,gh[gpm]_lev10,gh[gpm]_lev11,gh[gpm]_lev12,gh[gpm]_lev13,gh[gpm]_lev14,gh[gpm]_lev15,gh[gpm]_lev16,gh[gpm]_lev17,gh[gpm]_lev18,gh[gpm]_lev19,gh[gpm]_lev20,gh[gpm]_lev21,gh[gpm]_lev22,gh[gpm]_lev23,gh[gpm]_lev24,gh[gpm]_lev25,gh[gpm]_lev26,gh[gpm]_lev27,gh[gpm]_lev28,gh[gpm]_lev29,gh[gpm]_lev30,gh[gpm]_lev31,gh[gpm]_lev32,gh[gpm]_lev33,gh[gpm]_lev34,gh[gpm]_lev35,gh[gpm]_lev36,gh[gpm]_lev37,gh[gpm]_lev38,gh[gpm]_lev39,gh[gpm]_lev40,gh[gpm]_lev41,gh[gpm]_lev42,gh[gpm]_lev43,gh[gpm]_lev44,gh[gpm]_lev45,gh[gpm]_lev46,gh[gpm]_lev47,gh[gpm]_lev48,gh[gpm]_lev49,gh[gpm]_lev50
32.76,-97.314,178.061,206.604,256.479,338.687,458.293,614.576,802.775,1017.01,1258.023,1532.499,1845.478,2200.117,2600.615,3052.128,3560.983,4133.229,4759.428,5406.023,6039.39,6648.074,7233.667,7797.503,8338.523,8855.127,9346.701,9812.893,10257.335,10684.422,11093.1,11491.937,11900.995,12331.712,12787.242,13273.691,13800.225,14377.658,15016.42,15727.912,16514.971,17333.215,18117.975,18870.496,19643.488,20465.967,21342.117,22287.742,23336.801,24524.008,25887.643,27520.18
32.76,-97.282,177.717,206.26,256.136,338.375,458.136,614.67,803.213,1017.729,1258.867,1533.187,1845.759,2200.117,2600.365,3051.596,3560.358,4133.667,4763.553,5414.148,6048.202,6655.887,7241.104,7804.878,8345.461,8861.252,9352.107,9817.799,10261.96,10688.922,11097.568,11496.437,11905.464,12335.931,12790.961,13276.973,13803.568,14381.064,15019.951,15731.912,16519.971,17339.215,18124.162,18875.871,19648.02,20470.092,21345.586,22290.992,23340.988,24528.758,25891.893,27524.242
32.76,-97.25,191.811,220.354,270.229,352.468,472.261,628.701,816.869,1030.667,1270.835,1544.249,1855.947,2209.305,2608.303,3057.409,3563.671,4134.354,4762.834,5414.992,6052.452,6661.918,7246.729,7809.503,8349.023,8864.002,9354.264,9819.424,10263.022,10689.516,11097.912,11496.843,11906.276,12337.431,12793.555,13280.504,13807.818,14385.439,15023.451,15734.537,16522.596,17343.059,18128.6,18879.496,19650.488,20471.811,21346.867,22292.43,23343.238,24531.57,25894.486,27526.398
32.76,-97.218,200.436,228.979,278.823,360.968,480.511,636.482,823.744,1036.229,1274.96,1547.062,1857.791,2210.398,2608.365,3055.878,3559.015,4125.136,4749.053,5398.929,6037.577,6650.105,7237.292,7801.284,8341.617,8857.721,9349.67,9817.049,10263.366,10692.797,11104.225,11505.968,11917.37,12348.743,12804.93,13292.41,13819.193,14394.846,15030.264,15739.693,16527.689,17349.402,18135.537,18885.434,19655.145,20475.467,21350.305,22296.492,23348.113,24536.883,25899.83,27531.398
32.76,-97.186,189.561,218.041,267.854,349.906,469.293,625.107,812.182,1024.385,1262.648,1534.218,1844.666,2197.43,2596.396,3046.315,3552.421,4119.604,4741.709,5388.429,6024.827,6636.824,7224.886,7790.503,8332.836,8851.158,9345.42,9815.236,10264.147,10696.422,11110.85,11515.812,11930.62,12365.681,12822.117,13305.379,13827.912,14400.846,15035.076,15744.787,16533.939,17357.277,18144.162,18893.184,19661.707,20481.029,21355.68,22302.773,23355.113,24543.945,25907.08,27538.555
32.76,-97.154,172.217,200.76,250.573,332.656,452.105,607.92,795.025,1007.417,1246.148,1518.405,1829.572,2183.023,2582.803,3033.784,3542.64,4114.948,4740.803,5387.398,6021.733,6632.074,7219.729,7785.909,8329.117,8848.252,9343.076,9813.33,10262.647,10695.422,11110.381,11515.999,11931.401,12367.431,12824.617,13305.473,13824.256,14396.033,15031.201,15742.131,16532.627,17357.715,18145.256,18893.496,19661.176,20479.592,21354.117,22302.242,23355.02,24543.539,25906.736,27538.43
32.76,-97.122,190.967,219.479,269.292,351.343,470.699,626.42,813.494,1026.198,1265.554,1538.499,1850.072,2203.367,2602.334,3051.971,3559.483,4130.917,4755.615,5400.242,6032.671,6641.387,7227.573,7792.222,8333.836,8851.408,9344.982,9814.299,10262.835,10694.734,11108.662,11512.78,11926.526,12360.806,12815.805,13295.91,13815.568,14388.502,15024.732,15735.975,16526.971,17353.246,18140.943,18888.559,19655.738,20473.373,21347.805,22296.805,23349.645,24537.445,25900.518,27532.461
32.759,-97.091,188.561,217.104,266.948,349.093,468.574,624.451,811.9,1025.26,1265.554,1539.53,1852.072,2206.117,2605.553,3055.346,3562.171,4131.323,4753.553,5397.523,6030.608,6639.949,7226.198,7790.409,8331.305,8848.314,9341.545,9810.33,10257.897,10688.266,11100.068,11502.155,11914.651,12347.618,12802.055,13284.598,13807.162,14381.158,15017.357,15728.287,16519.346,17345.715,18133.037,18880.371,19647.301,20464.373,21338.961,22289.148,23342.051,24528.883,25891.83,27523.961
32.759,-97.059,177.248,205.823,255.761,338.0,457.605,613.732,801.619,1015.635,1256.679,1531.53,1844.916,2199.805,2599.928,3050.159,3556.546,4124.823,4747.115,5392.023,6026.046,6636.199,7222.761,7786.972,8327.867,8844.752,9337.295,9804.893,10250.929,10679.484,11089.881,11491.655,11904.745,12338.493,12794.492,13279.348,13803.131,14377.064,15012.67,15723.912,16515.064,17340.246,18127.068,18874.621,19641.27,20457.623,21332.586,22284.43,23337.988,24523.977,25886.768,27519.117
32.759,-97.027,163.936,192.541,242.573,324.937,444.699,601.107,789.463,1003.979,1245.585,1521.03,1835.041,2190.523,2591.209,3041.659,3547.765,4115.886,4739.459,5386.523,6022.577,6634.449,7222.167,7786.972,8327.992,8844.502,9336.357,9803.361,10248.804,10677.016,11087.506,11489.593,11902.651,12336.306,12792.492,13277.848,13801.881,14375.752,15011.295,15723.693,16515.033,17338.59,18125.1,18873.121,19639.176,20454.342,21329.336,22282.867,23337.613,24522.977,25885.268,27517.93
32.759,-96.995,153.436,182.104,232.198,314.687,434.668,591.42,780.275,995.354,1237.492,1513.405,1827.822,2183.648,2584.709,3035.534,3541.483,4108.698,4731.49,5379.523,6017.89,6631.699,7220.823,7786.44,8327.617,8843.939,9335.67,9802.58,10248.116,10676.516,11087.006,11488.249,11899.62,12331.306,12786.836,13272.598,13796.787,14370.814,15006.795,15720.568,16512.096,17334.309,18120.537,18868.684,19633.988,20447.904,21322.648,22277.336,23333.613,24518.945,25880.33,27513.242
32.759,-96.963,149.467,178.166,228.292,310.875,431.011,588.138,777.307,992.604,1234.96,1510.905,1825.228,2181.055,2582.303,3034.034,3541.702,4110.479,4734.334,5382.617,6021.015,6635.293,7224.761,7790.472,8331.68,8848.064,9339.67,9806.174,10251.304,10679.359,11089.381,11489.718,11899.745,12330.337,12786.055,13271.691,13794.912,14368.596,15005.389,15721.287,16513.627,17334.84,18120.193,18867.371,19631.738,20445.123,21319.523,22274.336,23332.051,24518.289,25879.08,27512.148
32.759,-96.931,147.467,176.166,226.292,308.875,429.136,586.295,775.369,990.604,1233.085,1509.093,1823.103,2178.617,2579.896,3032.034,3541.327,4113.792,4741.115,5390.023,6027.265,6641.074,7230.542,7795.659,8336.148,8852.096,9343.451,9809.611,10254.335,10682.141,11091.912,11491.968,11901.839,12332.837,12788.367,13272.223,13794.162,14368.064,15006.482,15725.1,16519.064,17339.996,18124.131,18869.59,19632.863,20446.248,21320.273,22274.305,23332.676,24520.445,25881.549,27514.961
32.759,-96.899,168.686,197.354,247.417,329.875,449.918,606.67,795.119,1009.823,1251.929,1527.499,1840.853,2195.367,2595.303,3045.94,3553.827,4125.417,4754.053,5405.523,6042.233,6652.855,7239.823,7803.065,8341.742,8856.221,9346.545,9811.955,10256.116,10683.547,11092.975,11492.843,11903.058,12334.806,12790.211,13272.785,13794.381,14369.127,15008.795,15728.818,16523.877,17345.402,18129.006,18872.902,19635.02,20448.561,21322.43,22275.117,23333.02,24522.039,25884.518,27518.805
32.787,-97.633,329.686,358.073,407.604,489.218,607.855,762.576,948.307,1158.854,1394.929,1663.343,1969.541,2317.023,2709.678,3151.346,3646.358,4200.854,4810.146,5445.398,6071.858,6675.012,7255.448,7813.597,8348.273,8858.877,9345.42,9807.58,10248.866,10673.578,11080.568,11478.437,11887.589,12321.118,12782.43,13274.879,13805.818,14386.127,15028.014,15741.256,16526.189,17344.996,18133.162,18882.621,19646.77,20462.404,21341.055,22298.555,23353.863,24531.57,25881.955,27509.867
32.787,-97.601,312.186,340.573,390.167,471.812,590.511,745.295,931.025,1141.542,1377.304,1645.155,1950.447,2296.93,2689.146,3132.409,3631.015,4188.417,4798.521,5433.398,6060.108,6664.324,7245.792,7805.065,8340.43,8851.408,9338.264,9800.518,10241.804,10666.359,11073.443,11471.499,11880.464,12313.024,12773.398,13265.098,13795.193,14375.283,15017.576,15731.631,16517.314,17336.309,18124.287,18872.902,19636.238,20452.186,21331.586,22290.148,23345.832,24521.914,25871.705,27500.523
32.787,-97.569,295.092,323.51,373.136,454.875,573.73,728.701,914.807,1125.917,1362.617,1631.843,1938.916,2287.492,2681.74,3126.315,3626.108,4184.979,4796.584,5431.835,6058.077,6662.199,7244.011,7803.753,8339.398,8850.314,9336.951,9799.018,10240.241,10665.047,11072.631,11471.218,11880.214,12311.556,12770.805,13262.348,13792.475,14373.189,15016.357,15730.756,16516.408,17335.121,18122.662,18870.621,19633.426,20449.998,21330.211,22288.492,23343.645,24519.633,25869.924,27499.68
32.787,-97.537,260.686,289.135,338.823,420.781,540.043,695.732,882.869,1095.323,1333.835,1605.218,1914.509,2265.18,2660.928,3106.159,3606.421,4167.198,4781.896,5419.148,6045.952,6650.793,7233.698,7794.628,8331.68,8843.971,9331.482,9794.018,10235.585,10661.016,11069.381,11468.655,11878.058,12308.681,12766.93,13258.504,13789.1,14370.377,15014.295,15728.475,16513.314,17331.465,18118.6,18866.777,19630.27,20447.904,21328.617,22285.555,23339.332,24516.039,25867.643,27498.461
32.787,-97.506,223.623,252.104,301.886,384.031,503.574,659.638,847.307,1060.604,1300.117,1572.874,1884.228,2237.367,2635.615,3083.378,3586.171,4149.761,4767.303,5407.085,6036.358,6643.449,7227.823,7790.034,8328.711,8842.752,9331.92,9795.705,10238.022,10663.984,11072.818,11472.499,11882.339,12312.806,12769.742,13260.91,13792.131,14373.721,15018.076,15731.787,16515.533,17332.934,18119.662,18868.965,19634.426,20453.373,21334.055,22288.992,23340.738,24518.539,25872.049,27503.523
32.787,-97.474,208.123,236.604,286.386,368.468,487.855,643.545,830.369,1042.104,1279.679,1550.53,1860.572,2213.461,2612.49,3061.69,3566.733,4133.261,4753.615,5396.085,6028.577,6639.043,7226.323,7790.69,8330.586,8845.564,9336.139,9801.299,10244.522,10671.078,11080.193,11479.78,11889.464,12319.962,12776.18,13266.816,13798.475,14380.221,15024.357,15737.318,16520.283,17336.965,18123.193,18873.871,19641.77,20462.061,21342.648,22295.555,23344.832,24523.477,25879.549,27511.18
32.787,-97.442,200.623,229.135,278.917,360.937,480.23,635.857,822.744,1034.667,1272.492,1543.343,1853.041,2205.648,2604.959,3054.128,3558.64,4125.292,4746.521,5390.054,6023.671,6635.637,7224.136,7788.847,8329.023,8844.658,9335.889,9801.549,10245.241,10672.203,11081.287,11480.374,11889.558,12320.274,12776.68,13266.66,13798.162,14379.939,15023.076,15735.037,16517.877,17334.215,18119.818,18871.277,19641.02,20462.623,21343.461,22294.961,23342.145,24521.633,25880.58,27512.336
32.787,-97.41,210.436,238.948,288.729,370.75,490.043,645.67,832.619,1045.01,1283.835,1556.343,1867.728,2221.148,2619.928,3067.846,3570.827,4135.854,4755.803,5398.867,6031.733,6642.043,7228.792,7792.222,8331.93,8847.408,9338.264,9803.705,10247.429,10674.359,11083.256,11482.124,11890.964,12321.681,12778.43,13267.754,13798.568,14380.158,15021.92,15732.912,16516.096,17332.371,18117.131,18868.59,19639.52,20462.061,21342.992,22293.43,23339.676,24520.539,25882.236,27514.336
32.787,-97.378,206.404,234.916,284.761,366.875,486.293,642.138,829.557,1042.698,1282.429,1555.655,1867.478,2221.086,2620.021,3068.128,3571.452,4136.698,4757.146,5401.492,6034.921,6644.168,7229.823,7792.94,8332.773,8848.283,9339.232,9804.924,10249.054,10676.172,11085.006,11483.843,11892.558,12322.837,12779.086,13267.754,13798.037,14379.064,15019.451,15729.881,16513.814,17330.09,18113.943,18865.152,19637.051,20460.061,21340.18,22289.336,23335.551,24518.102,25881.83,27514.336
32.787,-97.346,185.467,214.041,263.917,346.093,465.636,621.67,809.4,1022.854,1262.929,1536.593,1848.978,2203.398,2603.803,3054.815,3561.765,4129.636,4751.771,5398.117,6033.171,6643.168,7229.511,7793.597,8334.367,8850.596,9342.014,9808.268,10252.866,10680.172,11089.037,11487.905,11896.558,12326.618,12782.086,13269.848,13799.225,14379.252,15018.732,15729.412,16514.627,17330.996,18114.006,18864.996,19637.738,20461.029,21339.773,22287.461,23333.926,24517.633,25882.018,27514.805
