latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
32.76015,-97.63323,11881.80762,13.63584,22.46385,-0.18208
32.76018,-97.60131,11882.30762,13.63584,20.52635,0.13994
32.76021,-97.56938,11880.15137,14.26084,20.77635,0.28097
32.76022,-97.53746,11880.65137,14.76084,22.90135,0.36569
32.76023,-97.50554,11880.49512,14.13584,24.58885,0.53592
32.76023,-97.47361,11886.18262,12.32334,24.02635,0.62083
32.76021,-97.44169,11887.99512,9.94834,21.96385,0.36569
32.76019,-97.40976,11888.58887,8.69834,20.21385,0.04524
32.76016,-97.37784,11891.71387,9.26084,19.52635,-0.16184
32.76012,-97.34591,11894.93262,10.44834,19.33885,-0.42576
32.76007,-97.31399,11900.99512,11.07334,18.52635,-0.74649
32.76001,-97.28206,11905.46387,9.88584,15.90135,-0.81223
32.75994,-97.25014,11906.27637,3.88584,14.15135,-2.92645
32.75987,-97.21821,11917.37012,2.76084,14.77635,-2.15564
32.75978,-97.18629,11930.62012,10.51084,11.21385,6.35523
32.75968,-97.15437,11931.40137,17.94834,12.52635,8.27164
32.75958,-97.12244,11926.52637,23.69834,15.15135,3.51063
32.75946,-97.09052,11914.65137,25.76084,11.08885,-0.56158
32.75934,-97.05859,11904.74512,24.32334,5.58885,-0.77214
32.75921,-97.02667,11902.65137,23.01084,4.33885,-0.28715
32.75906,-96.99475,11899.62012,21.44834,7.58885,-0.56037
32.75891,-96.96282,11899.74512,20.01084,10.52635,-0.98298
32.75875,-96.9309,11901.83887,20.01084,12.21385,-1.02072
32.75858,-96.89897,11903.05762,20.19834,14.77635,-0.40831
32.787,-97.63328,11887.58887,15.26084,19.21385,-0.35131
32.78703,-97.60134,11880.46387,15.88584,19.90135,0.34715
32.78705,-97.56941,11880.21387,16.26084,21.90135,0.39397
32.78707,-97.53747,11878.05762,15.94834,24.71385,0.1679
32.78708,-97.50554,11882.33887,14.63584,26.21385,0.10201
32.78707,-97.4736,11889.46387,12.38584,24.90135,-0.03957
32.78706,-97.44167,11889.55762,9.69834,22.40135,-0.30355
32.78704,-97.40973,11890.96387,7.82334,20.52635,-0.30329
32.78701,-97.37779,11892.55762,7.69834,19.40135,-0.0489
32.78697,-97.34586,11896.55762,8.44834,18.46385,0.00759
32.78692,-97.31392,11901.74512,8.88584,17.46385,-0.16179
32.78686,-97.28199,11908.08887,7.69834,15.90135,-0.50068
32.78679,-97.25005,11916.58887,4.07334,15.52635,-1.97013
32.78671,-97.21812,11935.30762,4.51084,20.08885,0.37528
32.78663,-97.18618,11943.30762,11.07334,20.02635,3.39101
32.78653,-97.15425,11935.96387,17.19834,18.77635,1.39848
32.78642,-97.12231,11925.46387,20.01084,15.15135,0.37737
32.78631,-97.09037,11910.40137,19.19834,9.96385,1.46101
32.78619,-97.05844,11899.12012,18.19834,7.33885,2.12732
32.78605,-97.0265,11894.93262,21.44834,5.65135,1.05514
32.78591,-96.99457,11895.96387,25.19834,5.52635,-1.01997
32.78576,-96.96264,11898.62012,24.44834,8.46385,-1.61026
32.7856,-96.9307,11898.87012,21.94834,11.71385,-1.34033
32.78543,-96.89877,11897.87012,20.88584,13.77635,-0.95468
32.81384,-97.63333,11878.87012,17.07334,19.83885,-0.09597
32.81388,-97.60138,11880.40137,17.32334,21.65135,0.11129
32.8139,-97.56943,11878.49512,17.13584,23.83885,0.1679
32.81392,-97.53749,11879.77637,16.82334,26.40135,0.06424
32.81392,-97.50554,11885.18262,15.63584,26.71385,-0.38909
32.81392,-97.47359,11886.24512,13.32334,23.46385,-0.96526
32.81391,-97.44165,11886.90137,10.38584,20.90135,-1.22029
32.81389,-97.4097,11889.83887,7.88584,19.83885,-0.9833
32.81386,-97.37775,11892.52637,6.88584,19.02635,-0.47314
32.81382,-97.3458,11895.52637,7.19834,18.15135,-0.03008
32.81377,-97.31386,11899.93262,7.69834,17.71385,0.20531
32.81371,-97.28191,11906.99512,7.32334,17.15135,-0.03949
32.81364,-97.24996,11913.71387,6.32334,17.90135,-0.58589
32.81356,-97.21802,11928.87012,7.07334,21.90135,0.1018
32.81348,-97.18607,11933.71387,9.07334,21.15135,-0.37884
32.81338,-97.15413,11926.83887,11.26084,15.46385,0.23472
32.81327,-97.12218,11918.80762,13.44834,9.33885,1.89995
32.81316,-97.09023,11906.49512,13.63584,8.33885,0.61762
32.81303,-97.05829,11894.43262,13.19834,12.40135,-0.32483
32.8129,-97.02634,11891.02637,16.26084,13.27635,1.1453
32.81276,-96.99439,11893.40137,23.19834,9.77635,1.05159
32.81261,-96.96245,11896.96387,27.63584,9.15135,-1.02589
32.81244,-96.9305,11895.87012,25.69834,11.90135,-1.69201
32.81227,-96.89856,11893.55762,22.19834,13.83885,-1.38708
32.84069,-97.63337,11882.40137,17.38584,21.33885,-0.0773
32.84073,-97.60141,11879.24512,16.82334,23.58885,-0.30391
32.84075,-97.56946,11879.74512,16.38584,25.52635,-0.11517
32.84077,-97.5375,11884.37012,16.57334,27.27635,0.17784
32.84077,-97.50554,11886.40137,15.88584,25.40135,-0.26668
32.84077,-97.47358,11889.90137,13.94834,20.33885,-0.68209
32.84076,-97.44163,11886.80762,11.57334,18.27635,-0.97499
32.84074,-97.40967,11887.46387,9.13584,18.52635,-0.97499
32.84071,-97.37771,11890.30762,7.32334,18.15135,-0.6815
32.84067,-97.34575,11893.37012,6.69834,17.46385,-0.1904
32.84062,-97.31379,11896.02637,7.07334,17.65135,0.35627
32.84056,-97.28184,11900.18262,7.26084,17.71385,0.29039
32.84049,-97.24988,11905.02637,7.57334,18.46385,-0.02067
32.84041,-97.21792,11911.02637,7.63584,19.77635,-0.07723
32.84032,-97.18596,11915.83887,5.82334,17.52635,-0.60699
32.84023,-97.15401,11915.68262,7.26084,10.02635,1.28864
32.84012,-97.12205,11913.40137,12.26084,6.46385,0.58832
32.84001,-97.09009,11904.21387,13.26084,8.83885,-3.25134
32.83988,-97.05813,11896.37012,11.51084,16.02635,-2.72292
32.83975,-97.02618,11895.87012,13.57334,18.27635,3.74412
32.83961,-96.99422,11894.90137,21.32334,14.90135,5.95405
32.83946,-96.96226,11893.77637,28.57334,12.77635,1.17473
32.83929,-96.93031,11893.15137,28.38584,13.33885,-1.97866
32.83912,-96.89835,11892.43262,23.69834,14.33885,-1.67027
32.86754,-97.63342,11881.08887,16.32334,18.08885,-0.98696
32.86758,-97.60145,11877.40137,15.38584,22.15135,-0.73081
32.8676,-97.56948,11881.30762,15.13584,24.33885,-0.13437
32.86762,-97.53751,11886.27637,15.94834,24.77635,0.35803
32.86763,-97.50554,11890.77637,15.88584,22.21385,0.28202
32.86762,-97.47357,11901.87012,14.88584,18.33885,0.39488
32.86761,-97.4416,11897.27637,13.38584,17.27635,0.19658
32.86759,-97.40964,11890.71387,11.19834,17.65135,-0.1816
32.86756,-97.37767,11888.65137,8.69834,17.08885,-0.25722
32.86752,-97.3457,11891.52637,7.13584,16.77635,0.03593
32.86747,-97.31373,11892.68262,7.07334,17.52635,0.68649
32.86741,-97.28176,11896.58887,7.44834,17.71385,0.76214
32.86734,-97.24979,11902.74512,8.01084,17.58885,0.51676
32.86726,-97.21782,11906.90137,7.44834,17.33885,0.20573
32.86718,-97.18585,11908.99512,2.69834,16.27635,-1.47338
32.86708,-97.15389,11911.83887,5.07334,10.15135,1.10011
32.86697,-97.12192,11910.02637,13.63584,8.40135,2.10005
32.86686,-97.08995,11908.08887,14.63584,11.15135,0.58788
32.86673,-97.05798,11905.40137,12.82334,17.27635,3.20417
32.8666,-97.02601,11902.08887,16.44834,19.08885,9.68659
