latitude,longitude,pres[Pa],gh[gpm],t[K],u[m/s],v[m/s],w[Pa/s]
32.76,-97.633,44242.765,6669.074,258.759,14.601,24.053,4.602
32.76,-97.601,44293.805,6662.668,258.759,15.414,24.74,5.914
32.76,-97.569,44306.125,6659.605,258.697,18.351,26.24,4.352
32.76,-97.537,44321.485,6656.543,258.509,22.101,26.053,1.227
32.76,-97.506,44351.725,6648.73,258.384,25.101,22.678,-0.461
32.76,-97.474,44410.285,6642.449,258.759,26.976,17.865,1.039
32.76,-97.442,44455.725,6636.262,259.072,27.789,14.803,3.321
32.76,-97.41,44470.605,6635.074,259.009,27.039,15.24,4.602
32.76,-97.378,44469.165,6638.98,258.822,25.164,18.49,3.008
32.76,-97.346,44475.725,6641.699,258.509,22.414,21.74,-1.117
32.76,-97.314,44473.805,6648.074,258.072,19.476,22.303,-6.242
32.76,-97.282,44449.805,6655.887,258.072,18.289,20.178,-3.054
32.76,-97.25,44424.845,6661.918,258.322,20.164,16.99,-7.898
32.76,-97.218,44462.605,6650.105,259.634,22.476,15.615,-19.586
32.76,-97.186,44526.605,6636.824,259.572,22.101,21.865,-15.148
32.76,-97.154,44544.685,6632.074,258.947,18.664,28.365,-9.586
32.76,-97.122,44468.845,6641.387,258.947,15.539,26.115,-9.398
32.759,-97.091,44442.285,6639.949,259.072,15.226,21.74,-7.648
32.759,-97.059,44444.365,6636.199,259.134,16.226,22.803,-7.148
32.759,-97.027,44461.805,6634.449,259.509,17.789,25.24,-4.023
32.759,-96.995,44485.005,6631.699,259.884,18.976,25.24,2.039
32.759,-96.963,44492.845,6635.293,259.947,19.601,23.615,2.883
32.759,-96.931,44489.805,6641.074,260.009,19.476,23.553,-2.367
32.759,-96.899,44441.325,6652.855,259.322,17.164,25.74,-2.461
32.787,-97.633,44239.405,6675.012,259.009,17.664,22.99,2.946
32.787,-97.601,44262.925,6664.324,259.009,18.914,23.303,4.383
32.787,-97.569,44278.925,6662.199,258.884,21.164,24.303,2.477
32.787,-97.537,44332.845,6650.793,258.697,24.226,23.678,0.289
32.787,-97.506,44398.125,6643.449,258.759,27.289,20.303,3.477
32.787,-97.474,44459.405,6639.043,259.259,27.289,18.553,9.164
32.787,-97.442,44472.845,6635.637,259.759,24.789,18.74,13.664
32.787,-97.41,44439.245,6642.043,259.509,23.101,19.115,13.164
32.787,-97.378,44441.165,6644.168,258.884,22.351,20.928,7.321
32.787,-97.346,44478.605,6643.168,258.509,20.664,23.303,-0.148
32.787,-97.314,44444.525,6654.293,258.259,16.914,23.928,-3.398
32.787,-97.282,44442.125,6662.762,257.884,15.726,23.678,-11.586
32.787,-97.25,44469.485,6663.48,259.572,17.664,20.553,-31.054
32.787,-97.218,44507.405,6648.918,260.634,17.164,15.865,-40.742
32.787,-97.186,44529.165,6635.543,260.322,14.726,20.178,-31.867
32.787,-97.154,44520.045,6631.949,259.697,12.914,25.99,-31.961
32.786,-97.122,44493.805,6633.637,259.822,13.351,22.49,-35.679
32.786,-97.09,44494.125,6628.262,259.634,16.289,18.803,-18.554
32.786,-97.058,44486.925,6627.012,259.447,18.539,21.553,-2.023
32.786,-97.027,44513.805,6623.418,259.509,18.851,25.803,-0.336
32.786,-96.995,44511.725,6625.23,259.572,18.476,27.303,-1.492
32.786,-96.963,44500.045,6631.637,259.572,18.789,26.428,-0.211
32.786,-96.931,44498.285,6636.418,259.697,20.226,25.74,-1.398
32.785,-96.899,44494.445,6638.855,259.572,20.226,26.865,0.258
32.814,-97.633,44282.445,6657.074,258.759,19.914,22.428,5.321
