altitude,latitude,longitude,x_from_origin_mid,y_from_origin_mid,u_mid,v_mid,w_mid,tke_mid
370.0,33.01599884033203,-97.28399658203125,-1074.5179443359375,-1164.4420166015625,13.818599700927734,7.298870086669922,0.01673850044608116,0.9485589861869812
370.0,33.01599884033203,-97.28346252441406,-1024.133544921875,-1164.4473876953125,13.805500030517578,7.29265022277832,0.01615159958600998,0.9447129964828491
370.0,33.01599884033203,-97.28292083740234,-973.7491455078125,-1164.4525146484375,13.779600143432617,7.2846999168396,0.01711999997496605,0.938202977180481
370.0,33.01599884033203,-97.28237915039062,-923.3648071289062,-1164.4573974609375,13.770600318908691,7.284029960632324,0.01893489994108677,0.9355270266532898
370.0,33.01599884033203,-97.28184509277344,-872.9804077148438,-1164.4620361328125,13.760000228881836,7.286320209503174,0.022771699354052544,0.9313279986381531
370.0,33.01599884033203,-97.28130340576172,-822.5960083007812,-1164.46630859375,13.753299713134766,7.284460067749023,0.02406200021505356,0.9296799898147583
370.0,33.01599884033203,-97.28076171875,-772.2116088867188,-1164.470458984375,13.742300033569336,7.27632999420166,0.027873899787664413,0.926971971988678
370.0,33.01599884033203,-97.28022766113281,-721.8272094726562,-1164.4742431640625,13.732000350952148,7.261889934539795,0.029247000813484192,0.9248420000076294
370.0,33.01599884033203,-97.2796859741211,-671.4428100585938,-1164.477783203125,13.725600242614746,7.2534499168396,0.029348500072956085,0.9239240288734436
370.0,33.01599884033203,-97.27914428710938,-621.0584106445312,-1164.4810791015625,13.711899757385254,7.239779949188232,0.022451400756835938,0.9222120046615601
370.0,33.01599884033203,-97.27861022949219,-570.6740112304688,-1164.4842529296875,13.704099655151367,7.2357001304626465,0.01641179993748665,0.9214469790458679
370.0,33.01599884033203,-97.27806854248047,-520.2896728515625,-1164.4869384765625,13.68179988861084,7.230760097503662,0.008491850458085537,0.92044997215271
370.0,33.01599884033203,-97.27752685546875,-469.9052429199219,-1164.489501953125,13.668399810791016,7.228509902954102,0.008161880075931549,0.9204409718513489
370.0,33.01599884033203,-97.27699279785156,-419.5208740234375,-1164.4918212890625,13.643600463867188,7.223130226135254,0.011979799717664719,0.9217489957809448
370.0,33.01599884033203,-97.27645111083984,-369.136474609375,-1164.4937744140625,13.619799613952637,7.21435022354126,0.021185100078582764,0.9247140288352966
370.0,33.01599884033203,-97.27590942382812,-318.7520751953125,-1164.49560546875,13.609600067138672,7.208899974822998,0.025980599224567413,0.9266489744186401
370.0,33.01599884033203,-97.27537536621094,-268.36767578125,-1164.4970703125,13.588800430297852,7.195149898529053,0.03833169862627983,0.930957019329071
370.0,33.01599884033203,-97.27483367919922,-217.98329162597656,-1164.498291015625,13.578499794006348,7.1875,0.04572010040283203,0.9332119822502136
370.0,33.01599884033203,-97.2742919921875,-167.59890747070312,-1164.4993896484375,13.563799858093262,7.173920154571533,0.059289298951625824,0.9378010034561157
370.0,33.01599884033203,-97.27375793457031,-117.21451568603516,-1164.5001220703125,13.56029987335205,7.1686601638793945,0.06492040306329727,0.9401289820671082
370.0,33.01599884033203,-97.2732162475586,-66.83012390136719,-1164.50048828125,13.55780029296875,7.1620402336120605,0.077606700360775,0.9449189901351929
370.0,33.01599884033203,-97.27267456054688,-16.44573211669922,-1164.500732421875,13.565699577331543,7.16418981552124,0.08988960087299347,0.9496989846229553
370.0,33.01599884033203,-97.27214050292969,33.93865966796875,-1164.500732421875,13.57289981842041,7.168069839477539,0.09628160297870636,0.9520220160484314
370.0,33.01599884033203,-97.27159881591797,84.32305145263672,-1164.5003662109375,13.597599983215332,7.1805100440979,0.10327000170946121,0.9562829732894897
370.0,33.01599884033203,-97.27105712890625,134.7074432373047,-1164.4998779296875,13.614800453186035,7.188499927520752,0.10134399682283401,0.957984983921051
370.0,33.01599884033203,-97.27051544189453,185.09182739257812,-1164.4990234375,13.647500038146973,7.205739974975586,0.0835949033498764,0.9601609706878662
370.0,33.01599884033203,-97.26998138427734,235.47622680664062,-1164.4979248046875,13.655900001525879,7.214389801025391,0.06884060055017471,0.9608830213546753
370.0,33.01599884033203,-97.26943969726562,285.8606262207031,-1164.49658203125,13.653599739074707,7.23075008392334,0.03886380046606064,0.9629690051078796
370.0,33.01599884033203,-97.2688980102539,336.2449951171875,-1164.4949951171875,13.636099815368652,7.2423200607299805,0.020325299352407455,0.9667580127716064
370.0,33.01599884033203,-97.26836395263672,386.62939453125,-1164.4931640625,13.626099586486816,7.246610164642334,0.012662800028920174,0.9692590236663818
370.0,33.01599884033203,-97.267822265625,437.0137939453125,-1164.4910888671875,13.601699829101562,7.252810001373291,0.004222560208290815,0.9758279919624329
370.0,33.01599884033203,-97.26728057861328,487.398193359375,-1164.4886474609375,13.588199615478516,7.255559921264648,0.003652920015156269,0.9799799919128418
370.0,33.01599884033203,-97.2667465209961,537.7825927734375,-1164.486083984375,13.565299987792969,7.262939929962158,0.005763059947639704,0.9899979829788208
370.0,33.01599884033203,-97.26620483398438,588.1669921875,-1164.483154296875,13.555999755859375,7.267499923706055,0.007568269968032837,0.995855987071991
370.0,33.01599884033203,-97.26566314697266,638.5513305664062,-1164.47998046875,13.534899711608887,7.276150226593018,0.014445800334215164,1.0094300508499146
370.0,33.01599884033203,-97.26512908935547,688.9357299804688,-1164.4765625,13.50469970703125,7.282959938049316,0.02362300083041191,1.0257400274276733
370.0,33.01599884033203,-97.26458740234375,739.3201293945312,-1164.472900390625,13.48390007019043,7.285029888153076,0.030403999611735344,1.034999966621399
