altitude,latitude,longitude,x_from_origin_high,y_from_origin_high,u_high,v_high,w_high,tke_high
570.0,33.01599884033203,-97.28399658203125,-1074.5179443359375,-1164.4420166015625,20.51300048828125,8.196009635925293,0.031058000400662422,0.43054699897766113
570.0,33.01599884033203,-97.28292083740234,-973.7491455078125,-1164.4525146484375,20.368499755859375,8.21068000793457,0.011139900423586369,0.40288200974464417
570.0,33.01599884033203,-97.28184509277344,-872.9804077148438,-1164.4620361328125,20.297300338745117,8.215510368347168,0.003966019954532385,0.39115801453590393
570.0,33.01599884033203,-97.28076171875,-772.2116088867188,-1164.470458984375,20.17300033569336,8.220890045166016,0.0028348199557513,0.37000998854637146
570.0,33.01599884033203,-97.2796859741211,-671.4428100585938,-1164.477783203125,20.122100830078125,8.219799995422363,0.0046495599672198296,0.36010798811912537
570.0,33.01599884033203,-97.27861022949219,-570.6740112304688,-1164.4842529296875,20.04789924621582,8.210780143737793,0.0029284500051289797,0.341744989156723
570.0,33.01599884033203,-97.27752685546875,-469.9052429199219,-1164.489501953125,19.997600555419922,8.19970989227295,0.0028587300330400467,0.3253769874572754
570.0,33.01599884033203,-97.27645111083984,-369.136474609375,-1164.4937744140625,19.978200912475586,8.193690299987793,0.002707039937376976,0.31796300411224365
570.0,33.01599884033203,-97.27537536621094,-268.36767578125,-1164.4970703125,19.94379997253418,8.182769775390625,0.010176200419664383,0.3046320080757141
570.0,33.01599884033203,-97.2742919921875,-167.59890747070312,-1164.4993896484375,19.932199478149414,8.178529739379883,0.01750119961798191,0.298662006855011
570.0,33.01599884033203,-97.2732162475586,-66.83012390136719,-1164.50048828125,19.91309928894043,8.171250343322754,0.027722399681806564,0.28755199909210205
570.0,33.01599884033203,-97.27214050292969,33.93865966796875,-1164.500732421875,19.906600952148438,8.16847038269043,0.029725000262260437,0.2824769914150238
570.0,33.01599884033203,-97.27105712890625,134.7074432373047,-1164.4998779296875,19.90530014038086,8.16845989227295,0.03331359848380089,0.27282100915908813
570.0,33.01599884033203,-97.26998138427734,235.47622680664062,-1164.4979248046875,19.90719985961914,8.173500061035156,0.029228100553154945,0.2640179991722107
570.0,33.01599884033203,-97.2688980102539,336.2449951171875,-1164.4949951171875,19.90250015258789,8.177650451660156,0.029599500820040703,0.2600399851799011
570.0,33.01599884033203,-97.267822265625,437.0137939453125,-1164.4910888671875,19.90169906616211,8.187859535217285,0.03093460015952587,0.25219300389289856
570.0,33.01599884033203,-97.2667465209961,537.7825927734375,-1164.486083984375,19.910999298095703,8.194210052490234,0.032436300069093704,0.24817900359630585
570.0,33.01599884033203,-97.26566314697266,638.5513305664062,-1164.47998046875,19.923999786376953,8.211150169372559,0.04318929836153984,0.24069100618362427
570.0,33.01599884033203,-97.26458740234375,739.3201293945312,-1164.472900390625,19.930200576782227,8.22113037109375,0.0529480017721653,0.2373189926147461
570.0,33.01599884033203,-97.26351165771484,840.0889282226562,-1164.46484375,19.963699340820312,8.238249778747559,0.07211010158061981,0.2297700047492981
570.0,33.01599884033203,-97.2624282836914,940.8577270507812,-1164.4556884765625,19.995399475097656,8.243780136108398,0.0829600989818573,0.22547100484371185
570.0,33.01599884033203,-97.2613525390625,1041.62646484375,-1164.445556640625,20.066600799560547,8.24866008758545,0.11869499832391739,0.217740997672081
570.0,33.016902923583984,-97.28399658203125,-1074.5069580078125,-1064.2017822265625,20.330900192260742,8.23429012298584,0.027712300419807434,0.4106599986553192
570.0,33.016902923583984,-97.28292083740234,-973.7392578125,-1064.2122802734375,20.222700119018555,8.242440223693848,0.021894799545407295,0.3841550052165985
570.0,33.016902923583984,-97.28184509277344,-872.9714965820312,-1064.2216796875,20.184600830078125,8.246930122375488,0.016276000067591667,0.37225601077079773
570.0,33.016902923583984,-97.28076171875,-772.2037353515625,-1064.2301025390625,20.12019920349121,8.253629684448242,0.01083459984511137,0.35070401430130005
570.0,33.016902923583984,-97.2796859741211,-671.4359741210938,-1064.237548828125,20.08970069885254,8.254790306091309,0.011840599589049816,0.3407280147075653
570.0,33.016902923583984,-97.27861022949219,-570.668212890625,-1064.243896484375,20.052499771118164,8.250309944152832,0.010552999563515186,0.3229050040245056
570.0,33.016902923583984,-97.27752685546875,-469.90045166015625,-1064.249267578125,20.035200119018555,8.245409965515137,0.009442449547350407,0.3147920072078705
570.0,33.016902923583984,-97.27645111083984,-369.1327209472656,-1064.2535400390625,19.99799919128418,8.236920356750488,0.015076199546456337,0.3001770079135895
570.0,33.016902923583984,-97.27537536621094,-268.3649597167969,-1064.2568359375,19.969100952148438,8.229439735412598,0.02525700069963932,0.28776800632476807
570.0,33.016902923583984,-97.2742919921875,-167.59719848632812,-1064.259033203125,19.94770050048828,8.228119850158691,0.033066701143980026,0.28225499391555786
570.0,33.016902923583984,-97.2732162475586,-66.8294448852539,-1064.26025390625,19.92970085144043,8.225310325622559,0.04243030026555061,0.27230900526046753
570.0,33.016902923583984,-97.27214050292969,33.93831253051758,-1064.260498046875,19.93429946899414,8.223699569702148,0.04249420017004013,0.26771700382232666
570.0,33.016902923583984,-97.27105712890625,134.70606994628906,-1064.2596435546875,19.92799949645996,8.22284984588623,0.040941301733255386,0.2592659890651703
570.0,33.016902923583984,-97.26998138427734,235.4738311767578,-1064.2576904296875,19.916099548339844,8.222780227661133,0.0395038016140461,0.2554830014705658
570.0,33.016902923583984,-97.2688980102539,336.2415771484375,-1064.2547607421875,19.90999984741211,8.220600128173828,0.030500400811433792,0.2481600046157837
